时间戳,加速度计X,加速度计Y,加速度计Z,陀螺仪X,陀螺仪Y,陀螺仪Z
2025_07_02_16_08_26_0498,4.590630,-4.670790,-0.288933,1.816355,-7.718279,-0.027430
2025_07_02_16_08_26_0527,5.572884,-5.921638,-0.552742,0.504388,-6.390200,1.925808
2025_07_02_16_08_26_0554,10.699507,-4.881957,-0.035294,-0.952585,-4.762923,3.129255
2025_07_02_16_08_26_0577,11.820544,-5.705686,0.520439,-1.226349,-4.303941,3.105820
2025_07_02_16_08_26_0607,11.087144,-8.657232,0.271585,-0.333817,-4.855598,3.964265
2025_07_02_16_08_26_0637,15.433107,-9.692128,-0.399601,-0.249664,-4.443353,5.260387
2025_07_02_16_08_26_0662,21.268005,-8.383852,1.914856,-1.616092,-2.748967,5.348801
2025_07_02_16_08_26_0684,21.038296,-8.168498,3.016751,-2.977193,-1.397453,5.117646
2025_07_02_16_08_26_0710,19.016359,-9.969695,6.303293,-2.473471,-1.893851,5.466909
2025_07_02_16_08_26_0750,25.302305,-5.212166,7.328618,-0.674692,-1.498650,5.395671
2025_07_02_16_08_26_0773,24.679573,-2.994019,4.295715,0.068708,-1.272954,4.389160
2025_07_02_16_08_26_0797,22.490141,-1.609771,1.756930,0.885608,-1.873612,3.689435
2025_07_02_16_08_26_0825,20.099112,2.362314,1.114457,0.167774,-1.107842,3.256018
2025_07_02_16_08_26_0851,18.997217,3.957729,3.515056,-1.423285,0.039147,2.618077
2025_07_02_16_08_26_0873,18.743578,4.039084,4.200002,-1.038869,0.284151,1.746982
2025_07_02_16_08_26_0896,19.562521,4.254439,4.343571,-0.068708,-0.276029,0.946060
2025_07_02_16_08_26_0918,21.316460,2.999403,6.801599,0.736475,-0.524228,-0.242474
2025_07_02_16_08_26_0940,20.568703,0.598804,5.833702,1.395722,-0.087615,-1.604640
2025_07_02_16_08_26_0961,18.729221,-1.293321,3.275176,1.516093,0.240476,-2.539649
2025_07_02_16_08_26_0983,16.884356,-2.874378,1.287339,1.280676,0.606783,-3.228721
2025_07_02_16_08_27_0006,15.260226,-4.503292,0.410369,1.015567,0.834743,-3.678250
2025_07_02_16_08_27_0029,14.556138,-5.940781,0.252443,0.876021,1.066831,-3.931642
2025_07_02_16_08_27_0054,12.965509,-7.219744,-0.538385,0.758845,1.132875,-4.164928
2025_07_02_16_08_27_0087,10.895718,-8.724232,0.305085,0.853651,0.979615,-4.140428
2025_07_02_16_08_27_0108,10.517054,-8.508878,0.041276,0.955913,0.957245,-3.876250
2025_07_02_16_08_27_0134,9.779466,-8.863015,-0.960120,0.961240,0.962571,-3.878380
2025_07_02_16_08_27_0161,7.192227,-8.772088,-1.453042,1.021958,0.661110,-3.715400
2025_07_02_16_08_27_0185,6.138188,-7.928618,-1.165903,1.235937,0.286281,-3.430050
2025_07_02_16_08_27_0210,5.285745,-7.856833,-1.659423,1.112503,0.218106,-3.239374
2025_07_02_16_08_27_0242,2.736791,-9.687343,-2.521437,0.828086,0.033821,-2.775065
2025_07_02_16_08_27_0264,2.732005,-11.445469,-1.146760,0.750324,-0.329290,-2.003970
2025_07_02_16_08_27_0289,3.364309,-12.757932,0.180658,1.072024,-0.760710,-1.333006
2025_07_02_16_08_27_0319,2.252842,-15.585052,-1.611566,0.873891,-1.064168,-0.799457
2025_07_02_16_08_27_0342,3.148955,-19.791634,-0.303290,-0.256055,-0.721296,0.377359
2025_07_02_16_08_27_0362,7.254440,-21.209381,0.506082,-0.887605,-0.456053,1.650046
2025_07_02_16_08_27_0384,11.173883,-18.138792,-1.204188,-1.239132,-0.390008,2.030201
2025_07_02_16_08_27_0408,9.089735,-12.897314,-2.531606,-0.900388,-0.358051,2.429530
2025_07_02_16_08_27_0430,13.277175,-12.418151,-6.354739,-0.086683,-1.163234,3.758675
2025_07_02_16_08_27_0453,17.809181,-11.632109,-5.559125,-0.411579,-1.304910,4.384899
2025_07_02_16_08_27_0477,16.438692,-9.850055,-4.557729,-2.373339,0.327825,4.853468
2025_07_02_16_08_27_0508,14.115261,-9.644272,1.339981,-3.822722,0.550326,5.420172
2025_07_02_16_08_27_0530,14.024334,-8.853444,5.364110,-2.022877,-0.658447,5.429759
2025_07_02_16_08_27_0551,14.565710,-6.750153,4.803591,0.010120,-1.350716,5.176234
2025_07_02_16_08_27_0576,15.064015,-3.214757,1.191028,1.054980,-1.259105,4.626707
2025_07_02_16_08_27_0598,14.441283,-1.791626,-2.382653,0.044207,-0.626490,4.209268
2025_07_02_16_08_27_0621,14.809777,-0.684945,-0.504886,-1.552178,0.110518,4.289028
2025_07_02_16_08_27_0645,16.822142,1.566701,1.790430,-2.247642,0.595066,3.934438
2025_07_02_16_08_27_0673,16.362122,4.134798,1.924428,-1.397719,0.110518,2.773601
2025_07_02_16_08_27_0699,16.261623,3.914658,4.080361,-0.408384,-1.019428,1.886395
2025_07_02_16_08_27_0720,19.653448,2.515455,4.951946,-0.089879,-0.799990,1.298519
2025_07_02_16_08_27_0743,20.238495,0.977468,4.884947,-0.474428,-0.111051,0.331554
2025_07_02_16_08_27_0777,24.348764,-4.656433,5.455038,-0.645931,0.430088,-0.582283
2025_07_02_16_08_27_0799,26.658438,-5.452046,6.351150,-0.286947,0.754851,-1.718620
2025_07_02_16_08_27_0821,24.291338,-6.716653,4.904090,0.133687,1.382140,-2.951894
