时间戳,加速度计X,加速度计Y,加速度计Z,陀螺仪X,陀螺仪Y,陀螺仪Z
2025_07_12_16_50_52_0605,-2.471188,9.865009,15.162121,0.568302,-1.392126,0.471232
2025_07_12_16_50_52_0625,3.345166,18.134007,19.861624,1.532071,-1.990654,1.092130
2025_07_12_16_50_52_0648,9.592826,20.883957,25.270599,1.572550,-1.403844,-0.245536
2025_07_12_16_50_52_0688,0.600000,7.205986,23.445475,4.055076,-0.791468,-1.249785
2025_07_12_16_50_52_0717,2.539981,5.188836,10.974681,6.046662,-2.664814,-1.152848
2025_07_12_16_50_52_0738,3.273381,3.857230,7.247262,5.899660,-3.687171,-1.433005
2025_07_12_16_50_52_0761,3.560520,1.150349,4.066004,5.352263,-3.806477,-1.769485
2025_07_12_16_50_52_0783,0.757927,-2.960520,-0.303290,4.544950,-3.634974,-1.753507
2025_07_12_16_50_52_0804,-2.011168,-5.935995,-2.334797,3.538571,-3.523258,-1.058043
2025_07_12_16_50_52_0844,-1.076770,-9.370892,-1.712065,2.479996,-3.085448,0.651257
2025_07_12_16_50_52_0874,2.492125,-17.650059,-5.051249,0.736475,-1.470954,1.288133
2025_07_12_16_50_52_0896,-1.512862,-25.722843,-8.448459,-1.235803,-0.610379,2.291316
2025_07_12_16_50_52_0919,1.174876,-31.098320,-9.004191,-1.648049,-2.579595,4.731233
2025_07_12_16_50_52_0948,23.007587,-29.353952,-14.518452,-1.704506,-5.883282,5.625895
2025_07_12_16_50_52_0972,31.559536,-47.694340,4.056433,-5.119909,-4.853335,7.525871
2025_07_12_16_50_52_0995,54.671211,-39.391243,18.966110,-3.801417,-0.251528,12.985058
2025_07_12_16_50_53_0019,73.447090,-10.999805,-4.107280,-3.952680,-2.975862,10.627031
2025_07_12_16_50_53_0052,59.030933,-16.179070,12.268002,-4.669449,-4.128178,9.179779
2025_07_12_16_50_53_0075,64.904716,-2.845664,15.679568,-3.788634,-3.251624,9.447019
2025_07_12_16_50_53_0104,52.601421,14.536398,15.094523,-3.004756,-1.819152,7.071017
2025_07_12_16_50_53_0130,34.237701,27.553352,13.561920,-3.948419,0.074300,2.868539
2025_07_12_16_50_53_0150,12.735799,27.873991,15.540187,-3.697024,-0.012916,1.837660
2025_07_12_16_50_53_0173,10.311271,35.673996,24.753153,-1.772548,-0.522097,1.040999
2025_07_12_16_50_53_0195,4.701298,37.494335,21.701704,0.485214,0.143540,-1.021825
2025_07_12_16_50_53_0222,6.890731,30.221949,19.856838,1.150851,1.594121,-2.971867
2025_07_12_16_50_53_0250,17.363518,19.576281,16.264015,2.294645,2.266150,-3.904878
2025_07_12_16_50_53_0272,43.331028,19.705492,19.100109,3.831377,1.074421,-4.384099
2025_07_12_16_50_53_0296,76.268829,15.820147,21.232113,3.156152,3.684641,-7.436392
2025_07_12_16_50_53_0318,86.272621,-7.823334,24.432514,3.598224,4.752936,-9.783632
2025_07_12_16_50_53_0338,105.863258,-19.125233,27.527630,7.693113,1.221423,-10.864578
2025_07_12_16_50_53_0363,102.595261,-34.111481,7.951350,6.660103,1.933797,-13.515410
2025_07_12_16_50_53_0388,71.818176,-39.688553,0.400798,4.518319,1.838060,-13.315146
2025_07_12_16_50_53_0413,48.663433,-35.749966,0.707677,3.030588,2.264020,-11.508911
2025_07_12_16_50_53_0439,23.860031,-37.077385,3.811766,2.704627,2.050973,-9.342759
2025_07_12_16_50_53_0464,15.672390,-34.528431,-2.492723,3.323394,0.909310,-7.163692
2025_07_12_16_50_53_0493,-0.267398,-41.844486,-7.604989,1.943118,-0.188679,-5.775028
2025_07_12_16_50_53_0519,-5.479564,-51.522259,-0.509671,0.234884,-0.022503,-3.183848
2025_07_12_16_50_53_0541,-11.875579,-56.547783,-2.780460,0.788672,-0.527424,-0.245536
2025_07_12_16_50_53_0562,-11.521441,-55.014584,-5.899504,0.394669,-0.795729,3.112478
2025_07_12_16_50_53_0586,-1.484148,-54.157352,-6.670591,-1.570287,-0.561511,7.302172
2025_07_12_16_50_53_0606,16.237694,-52.044491,-2.143371,-1.570287,-1.444323,10.048742
2025_07_12_16_50_53_0630,31.099516,-50.406006,-3.930211,-1.234738,-1.489063,11.696392
2025_07_12_16_50_53_0652,56.836716,-46.903511,-2.790031,-2.669341,-0.206788,13.704888
2025_07_12_16_50_53_0677,73.638519,-41.901913,-3.340979,-5.027234,-0.344203,14.490897
2025_07_12_16_50_53_0710,103.486588,-25.186253,9.911072,-3.401023,-3.989697,13.239515
2025_07_12_16_50_53_0735,109.393867,-3.635894,15.501902,-4.539491,-0.907579,11.190406
2025_07_12_16_50_53_0762,83.077011,24.290739,15.022738,-6.104984,1.571751,6.630144
2025_07_12_16_50_53_0790,35.947971,25.316063,14.979668,-3.849353,-0.279224,3.211545
2025_07_12_16_50_53_0818,12.083755,26.389244,18.362520,-2.799299,-0.189745,2.294512
2025_07_12_16_50_53_0842,4.998008,27.754351,17.816359,-1.340196,0.155258,1.661897
2025_07_12_16_50_53_0863,4.298706,31.467413,18.458235,-0.404123,0.514241,0.923823
2025_07_12_16_50_53_0888,12.682558,36.430725,19.698912,0.240210,1.890123,-0.971892
