时间戳,加速度计X,加速度计Y,加速度计Z,陀螺仪X,陀螺仪Y,陀螺仪Z
2025_07_06_11_19_30_0051,-0.075374,0.192024,8.866604,0.210783,1.025020,-0.044340
2025_07_06_11_19_30_0080,-0.506680,0.192024,8.310871,-0.037416,-0.313578,-0.010253
2025_07_06_11_19_30_0107,0.049053,0.297308,10.701301,-0.158853,-0.548994,0.018508
2025_07_06_11_19_30_0135,0.240479,0.177667,10.586446,0.074433,0.254058,-0.000666
2025_07_06_11_19_30_0158,-0.132802,0.211167,9.307482,0.094673,0.377625,-0.024101
2025_07_06_11_19_30_0182,-0.310469,0.086740,9.192028,-0.038482,-0.140078,0.001465
2025_07_06_11_19_30_0213,0.058624,0.211167,10.279566,-0.050199,-0.186948,0.011052
2025_07_06_11_19_30_0245,0.068195,0.187238,9.868001,0.047802,0.181622,0.001465
2025_07_06_11_19_30_0270,-0.056231,0.177667,9.431909,0.001997,0.005859,-0.005992
2025_07_06_11_19_30_0293,-0.046660,0.168096,9.911072,-0.033155,-0.116643,0.003595
2025_07_06_11_19_30_0318,-0.022732,0.168096,10.030712,0.006258,0.026098,0.009987
2025_07_06_11_19_30_0343,-0.099302,0.187238,9.585050,0.013715,0.077229,0.009987
2025_07_06_11_19_30_0371,-0.046660,0.244666,9.709476,-0.012916,-0.068708,0.008921
2025_07_06_11_19_30_0391,-0.008375,0.292523,10.021141,-0.009720,-0.061251,0.008921
2025_07_06_11_19_30_0413,0.058624,0.292523,10.011570,0.013715,0.029294,0.003595
2025_07_06_11_19_30_0436,0.029910,0.282951,9.762118,0.006258,0.019707,0.001465
2025_07_06_11_19_30_0459,0.077767,0.359522,9.695119,-0.008655,-0.036751,-0.005992
2025_07_06_11_19_30_0482,0.096909,0.354736,9.791430,-0.013981,-0.027163,-0.014514
2025_07_06_11_19_30_0506,0.135194,0.163310,9.786645,-0.007590,-0.005859,-0.002796
2025_07_06_11_19_30_0529,0.206979,-0.066999,9.820144,-0.008655,-0.025033,0.017443
2025_07_06_11_19_30_0552,0.254836,-0.162712,9.906285,-0.000133,-0.004794,0.012117
2025_07_06_11_19_30_0574,0.116052,0.028714,9.887143,0.020106,0.081490,-0.024101
2025_07_06_11_19_30_0595,-0.075374,0.249452,9.776475,0.015845,0.121969,-0.051797
2025_07_06_11_19_30_0617,-0.276969,0.359522,9.661619,-0.006525,0.063381,-0.048601
2025_07_06_11_19_30_0640,-0.296112,0.311665,9.671191,-0.024634,-0.035685,-0.027297
2025_07_06_11_19_30_0662,-0.166899,0.110668,9.930214,-0.018242,-0.045272,-0.003861
2025_07_06_11_19_30_0684,-0.128016,0.110668,10.025927,0.009454,0.007989,-0.001731
2025_07_06_11_19_30_0719,-0.181256,0.297308,9.786645,0.012650,0.031424,-0.028362
2025_07_06_11_19_30_0740,-0.224327,0.335593,9.738190,-0.006525,-0.010120,-0.015579
2025_07_06_11_19_30_0772,-0.013161,0.125025,9.709476,0.003063,-0.058055,0.037683
2025_07_06_11_19_30_0796,0.111266,0.134596,9.723833,-0.005459,-0.014381,0.030226
2025_07_06_11_19_30_0818,0.053839,0.163310,9.944571,0.014780,0.041011,0.005726
2025_07_06_11_19_30_0850,-0.008375,0.211167,9.781859,0.010519,0.034620,0.002530
2025_07_06_11_19_30_0871,-0.022732,0.101097,9.752547,-0.017177,-0.014381,0.013182
2025_07_06_11_19_30_0895,-0.013161,0.134596,9.887143,-0.007590,-0.027163,0.014247
2025_07_06_11_19_30_0917,0.020339,0.153739,9.934999,0.012650,0.029294,0.005726
2025_07_06_11_19_30_0940,-0.022732,0.230309,9.699904,0.008389,0.039946,-0.001731
