时间戳,加速度计X,加速度计Y,加速度计Z,陀螺仪X,陀螺仪Y,陀螺仪Z
2025_07_11_17_25_42_0874,11.422737,2.218745,1.579263,0.386813,-0.138747,0.121303
2025_07_11_17_25_42_0902,11.470593,1.744368,0.616152,0.205723,-0.178160,0.173500
2025_07_11_17_25_42_0925,12.088540,1.317847,0.765105,0.079094,-0.186682,0.217174
2025_07_11_17_25_42_0948,12.256636,0.843470,0.252443,0.005592,-0.192940,0.291741
2025_07_11_17_25_42_0969,12.745370,0.709472,0.036491,-0.113714,-0.261115,0.397199
2025_07_11_17_25_42_0993,13.430315,0.282951,0.055633,-0.160584,-0.408117,0.485480
2025_07_11_17_25_43_0013,14.517853,0.905683,0.539581,-0.189345,-0.408117,0.539807
2025_07_11_17_25_43_0035,13.942978,1.346561,0.472582,-0.383218,-0.133420,0.327959
2025_07_11_17_25_43_0059,11.240883,0.786042,0.951745,-0.478955,-0.073767,0.109586
2025_07_11_17_25_43_0080,10.249058,0.618545,1.033101,-0.364043,-0.023701,0.073368
2025_07_11_17_25_43_0103,9.075378,0.172881,0.472582,-0.336347,0.098800,-0.060851
2025_07_11_17_25_43_0125,8.514859,-0.474377,0.520439,-0.244737,0.109453,-0.164179
2025_07_11_17_25_43_0151,8.715857,-0.842872,0.698106,0.018375,-0.019441,-0.229025
2025_07_11_17_25_43_0181,9.372088,-0.986441,0.309871,0.062050,0.055126,-0.232221
2025_07_11_17_25_43_0203,9.980463,-0.799801,0.544367,0.052463,0.079626,-0.194938
2025_07_11_17_25_43_0225,10.402198,-0.291924,0.443869,0.153660,0.045539,-0.240743
2025_07_11_17_25_43_0248,9.865608,0.163310,0.218943,0.143008,0.116909,-0.315309
2025_07_11_17_25_43_0271,8.471788,0.028714,-0.198006,0.066311,0.146736,-0.409049
2025_07_11_17_25_43_0292,7.264011,0.297308,-0.274576,0.020506,0.137149,-0.364310
2025_07_11_17_25_43_0316,7.153942,0.402592,-0.490529,0.032223,0.050865,-0.354723
2025_07_11_17_25_43_0351,7.360322,0.555733,-0.691526,0.036484,-0.075898,-0.304657
2025_07_11_17_25_43_0379,7.709674,0.139382,-0.457029,-0.021038,-0.131290,-0.360049
2025_07_11_17_25_43_0405,7.877172,0.187238,0.093918,-0.045539,-0.202527,-0.206655
2025_07_11_17_25_43_0425,8.801998,0.723829,0.467797,0.021571,-0.215310,-0.130092
2025_07_11_17_25_43_0447,9.573684,1.389632,0.563510,0.075898,-0.162182,-0.136483
2025_07_11_17_25_43_0471,9.741181,1.696511,0.558724,0.074833,-0.066311,-0.155657
2025_07_11_17_25_43_0492,10.124631,1.820938,0.549153,0.112116,0.017843,-0.155657
2025_07_11_17_25_43_0515,10.306485,1.868794,0.141775,0.104659,0.128627,-0.113048
2025_07_11_17_25_43_0537,11.293525,1.633700,-0.241077,0.003462,0.234085,-0.039547
2025_07_11_17_25_43_0560,11.944971,1.408774,-0.336790,-0.059387,0.247933,-0.054460
2025_07_11_17_25_43_0580,12.237494,1.604986,-0.236291,-0.222367,0.313977,-0.056591
2025_07_11_17_25_43_0602,11.921042,0.915255,0.204586,-0.501325,0.542869,-0.042742
2025_07_11_17_25_43_0625,11.767901,1.039681,1.454836,-0.484282,0.566305,0.052063
2025_07_11_17_25_43_0648,12.165111,1.308276,1.627119,-0.127562,0.456585,-0.001198
2025_07_11_17_25_43_0672,11.048859,0.628116,1.234697,0.218506,0.245803,-0.136483
2025_07_11_17_25_43_0703,10.838290,-0.311067,0.544367,0.558315,-0.052463,-0.118374
2025_07_11_17_25_43_0727,10.943574,-0.694517,0.122632,0.366573,-0.005592,-0.051264
2025_07_11_17_25_43_0748,10.642078,-0.579661,0.649651,0.178027,0.064713,0.009454
2025_07_11_17_25_43_0772,9.338589,-0.411565,1.574477,0.122768,0.164845,0.027563
2025_07_11_17_25_43_0793,8.193623,0.043071,1.383052,0.113181,0.291608,0.090412
2025_07_11_17_25_43_0815,7.278368,0.483948,1.383052,0.222767,0.322499,0.121303
2025_07_11_17_25_43_0836,7.034300,0.714258,1.037887,0.396400,0.230889,0.099999
2025_07_11_17_25_43_0862,7.039086,0.900898,1.085743,0.624360,0.019973,0.039280
2025_07_11_17_25_43_0883,7.268797,0.738186,0.439083,0.761775,-0.063115,-0.026764
2025_07_11_17_25_43_0904,7.345367,0.541376,0.262014,0.674426,-0.030093,-0.018242
2025_07_11_17_25_43_0937,8.370692,0.349950,0.209372,0.622229,-0.140877,0.023302
2025_07_11_17_25_43_0959,9.564112,0.584447,0.501296,0.501858,-0.165377,0.021172
2025_07_11_17_25_43_0982,10.263414,1.010968,1.191028,0.370834,-0.102529,0.015845
2025_07_11_17_25_44_0006,11.236097,1.303490,1.569692,0.410248,-0.081224,-0.098135
2025_07_11_17_25_44_0027,11.317452,0.598804,0.693320,0.451792,-0.155790,-0.168440
2025_07_11_17_25_44_0050,11.801401,-0.200997,0.151944,0.379356,-0.333551,-0.138613
2025_07_11_17_25_44_0072,12.294921,-0.646660,0.098704,0.022636,-0.215310,0.010519
2025_07_11_17_25_44_0094,12.634702,-0.689731,0.597009,-0.279890,-0.187747,0.163913
2025_07_11_17_25_44_0117,13.358531,-0.373280,0.534796,-0.350195,-0.160051,0.233153
2025_07_11_17_25_44_0140,13.161721,-0.162712,0.233300,-0.482151,-0.237680,0.242740
2025_07_11_17_25_44_0162,12.247065,0.531805,0.894317,-0.758046,-0.063115,0.184152
2025_07_11_17_25_44_0185,11.048859,0.991825,1.497907,-0.892266,0.225563,0.059520
2025_07_11_17_25_44_0207,9.156734,0.321236,0.458226,-0.700524,0.262846,-0.092808
2025_07_11_17_25_44_0232,7.685746,-0.684945,-0.135793,-0.435414,0.076430,-0.059786
2025_07_11_17_25_44_0260,7.709674,-1.178465,-0.452243,-0.339543,0.077496,0.097868
2025_07_11_17_25_44_0283,8.797213,-0.589233,-0.317647,-0.295868,0.109453,0.194804
2025_07_11_17_25_44_0305,8.935996,0.249452,-0.135793,-0.213846,0.100931,0.179891
2025_07_11_17_25_44_0328,8.447861,0.723829,0.266800,-0.098800,0.037017,0.071237
2025_07_11_17_25_44_0350,7.456035,0.915255,0.228515,0.045006,0.043408,0.012650
2025_07_11_17_25_44_0371,6.813562,1.145564,-0.303290,0.108920,0.005060,0.025432
2025_07_11_17_25_44_0393,6.717850,1.193420,-0.533599,0.122768,-0.054593,0.000932
2025_07_11_17_25_44_0416,7.024729,1.269991,-0.653241,0.039680,-0.082289,0.013715
2025_07_11_17_25_44_0441,7.853244,1.308276,-0.269791,-0.028495,-0.105724,-0.000133
2025_07_11_17_25_44_0461,8.620144,1.322633,0.510868,-0.044473,-0.113181,0.055259
2025_07_11_17_25_44_0483,9.338589,1.155135,0.290728,0.080159,-0.083354,0.042476
2025_07_11_17_25_44_0504,10.320843,1.198206,0.055633,0.145138,-0.173899,0.106390
2025_07_11_17_25_44_0528,11.720045,1.351347,0.166301,0.187614,-0.139812,0.095738
2025_07_11_17_25_44_0551,11.844472,1.773082,-0.226720,0.098268,-0.027962,0.008389
2025_07_11_17_25_44_0571,11.024930,1.073181,-0.681954,-0.111583,0.097735,-0.022503
2025_07_11_17_25_44_0596,11.169098,0.584447,0.026919,-0.241542,0.123301,0.138347
2025_07_11_17_25_44_0616,11.691332,0.752543,-0.001795,-0.277760,0.204258,0.268306
2025_07_11_17_25_44_0639,12.145967,0.982254,0.242871,-0.456585,0.316108,0.242740
2025_07_11_17_25_44_0662,11.787045,0.642473,0.927817,-0.573761,0.400261,0.250197
2025_07_11_17_25_44_0684,12.409777,1.030110,2.144567,-0.429023,0.429955,0.265110
2025_07_11_17_25_44_0706,12.653844,0.915255,1.790430,-0.045539,0.336347,0.136217
2025_07_11_17_25_44_0729,11.676974,0.244666,1.033101,0.325029,0.035952,-0.057656
2025_07_11_17_25_44_0751,11.394023,-0.641875,0.644866,0.606251,-0.254724,-0.150331
2025_07_11_17_25_44_0773,10.814362,-1.073181,-0.154935,0.449661,-0.258985,-0.125831
2025_07_11_17_25_44_0795,10.378270,-1.092324,0.745962,0.128094,-0.119572,-0.083221
