时间戳,加速度计X,加速度计Y,加速度计Z,陀螺仪X,陀螺仪Y,陀螺仪Z
2025_07_03_18_58_43_0975,-1.694717,-0.186640,9.978070,-0.900388,-2.389850,-1.436334
2025_07_03_18_58_44_0002,-0.573679,1.499702,8.578867,0.232753,-3.381316,-0.870828
2025_07_03_18_58_44_0035,1.950749,2.515455,7.913064,0.166709,-4.295153,-0.951786
2025_07_03_18_58_44_0058,3.091527,3.195615,11.213964,-0.250729,-4.535762,-0.641936
2025_07_03_18_58_44_0083,5.160720,4.316652,14.433506,-0.695863,-3.470795,-0.429955
2025_07_03_18_58_44_0105,5.525027,4.556532,14.184652,-0.284817,-3.321663,-0.502391
2025_07_03_18_58_44_0128,8.830712,5.960521,16.987246,0.953783,-4.531501,-0.498130
2025_07_03_18_58_44_0151,12.879368,7.249056,18.831514,0.848325,-3.766930,-0.469368
2025_07_03_18_58_44_0181,13.986049,5.998806,20.010578,-0.080292,-1.673082,-0.554587
2025_07_03_18_58_44_0205,13.746168,6.865606,16.905890,2.756823,-2.440981,-0.997591
2025_07_03_18_58_44_0226,12.999009,7.344769,10.428519,4.049750,-2.512352,-1.595053
2025_07_03_18_58_44_0250,11.264811,5.553143,3.912863,3.066806,-1.967086,-1.797448
2025_07_03_18_58_44_0280,10.076775,2.989832,1.483550,1.241396,-1.227947,-1.798513
2025_07_03_18_58_44_0304,8.696713,0.781257,2.000998,1.050719,-1.494123,-2.026340
2025_07_03_18_58_44_0326,7.077371,-1.801197,1.833500,1.524615,-2.008630,-2.046579
2025_07_03_18_58_44_0348,6.478567,-3.444468,1.402194,1.795184,-2.320610,-1.674946
2025_07_03_18_58_44_0372,6.186045,-3.851846,0.611366,1.410635,-2.002239,-1.209572
2025_07_03_18_58_44_0394,6.200402,-4.134199,-0.001795,0.611976,-1.504775,-0.721829
2025_07_03_18_58_44_0421,6.128617,-4.728218,0.966102,-0.330622,-0.767900,-0.228626
2025_07_03_18_58_44_0449,6.248258,-5.164310,0.765105,-0.824757,-0.029827,0.078028
2025_07_03_18_58_44_0474,5.280960,-7.080960,-0.217149,-0.781082,-0.019174,0.435813
2025_07_03_18_58_44_0505,6.717850,-8.068000,-0.854238,-0.433949,-0.709312,1.467891
2025_07_03_18_58_44_0527,9.238090,-8.431708,-1.433899,0.028362,-1.346188,1.973744
2025_07_03_18_58_44_0550,10.890932,-9.495318,-2.071586,0.229558,-1.715691,2.319811
2025_07_03_18_58_44_0572,12.098111,-10.074980,-2.215156,-0.106923,-1.741256,2.900230
2025_07_03_18_58_44_0593,12.788441,-9.802198,-1.659423,-0.693733,-1.632603,3.368932
2025_07_03_18_58_44_0623,14.254045,-9.873982,-0.796810,-1.670419,-1.152316,4.051614
2025_07_03_18_58_44_0650,16.400406,-10.415359,-0.423530,-2.273207,-1.010640,4.527640
2025_07_03_18_58_44_0670,17.636898,-10.094122,0.635294,-2.326469,-1.102250,4.705400
2025_07_03_18_58_44_0692,18.350557,-9.256036,0.985245,-2.152836,-1.164033,4.685294
2025_07_03_18_58_44_0718,17.919250,-8.292925,1.459622,-2.098509,-1.088402,4.493552
2025_07_03_18_58_44_0738,17.057236,-7.555337,2.039283,-2.149640,-0.847659,4.344420
2025_07_03_18_58_44_0763,15.729817,-6.391229,2.360520,-2.112357,-0.544201,4.124982
2025_07_03_18_58_44_0795,14.714065,-5.159524,2.283351,-1.579874,-0.637941,3.767197
2025_07_03_18_58_44_0815,14.522639,-4.713861,1.660619,-1.258173,-0.738073,3.425390
2025_07_03_18_58_44_0838,13.679169,-4.694718,1.018744,-1.121957,-0.828618,3.122864
2025_07_03_18_58_44_0861,14.254045,-5.245666,0.889532,-1.459502,-0.673094,3.071733
2025_07_03_18_58_44_0884,14.608781,-4.929813,1.473979,-1.783200,-0.378025,2.983318
2025_07_03_18_58_44_0906,16.218552,-2.912663,1.924428,-1.513829,-0.394003,3.070667
2025_07_03_18_58_44_0928,18.643080,0.168096,1.296910,-1.071891,-0.656050,2.745904
2025_07_03_18_58_44_0950,17.809181,1.840081,3.093322,-1.482938,-0.262979,2.044049
2025_07_03_18_58_44_0976,16.855640,2.927619,6.427720,-1.383871,0.332353,1.591458
2025_07_03_18_58_45_0006,17.612968,5.035695,6.466005,-0.405188,0.726356,0.900255
2025_07_03_18_58_45_0031,18.206987,4.848457,6.336792,0.466039,0.751921,-0.203060
2025_07_03_18_58_45_0064,16.582859,1.303490,5.421538,1.816489,0.288678,-1.420355
2025_07_03_18_58_45_0094,18.925432,-2.011766,4.894519,2.461887,0.111849,-2.061492
2025_07_03_18_58_45_0119,18.719650,-3.703491,4.746164,2.338320,0.623028,-2.740978
2025_07_03_18_58_45_0149,18.662222,-5.221737,3.438486,2.520474,0.921293,-3.426855
2025_07_03_18_58_45_0175,19.721046,-8.335996,2.278565,2.736584,0.712508,-3.875185
2025_07_03_18_58_45_0197,20.621346,-10.367502,2.355734,2.637517,0.536744,-4.172385
2025_07_03_18_58_45_0219,20.659630,-11.670394,3.011966,2.258427,0.619832,-4.456669
2025_07_03_18_58_45_0250,18.915861,-13.050455,3.783053,1.920748,1.121424,-4.680367
2025_07_03_18_58_45_0274,17.306089,-12.475579,2.331806,1.785597,1.363232,-4.626041
2025_07_03_18_58_45_0297,15.547963,-11.895918,1.220340,1.740857,1.281209,-4.586627
2025_07_03_18_58_45_0317,13.823337,-11.157732,0.851247,1.767488,1.105446,-4.470517
2025_07_03_18_58_45_0340,11.528021,-10.233504,0.214158,1.735531,0.984142,-4.290626
2025_07_03_18_58_45_0363,9.242876,-9.644272,-1.065404,1.731270,0.748726,-4.093557
2025_07_03_18_58_45_0383,7.086943,-9.524033,-1.592423,1.624747,0.419569,-3.616466
2025_07_03_18_58_45_0408,6.655636,-8.484351,-0.734597,1.281875,0.132089,-2.851762
2025_07_03_18_58_45_0430,6.339784,-8.719446,-0.379861,1.102916,0.058588,-2.497173
2025_07_03_18_58_45_0453,5.769693,-8.958728,-0.758525,1.066698,-0.037283,-2.098775
2025_07_03_18_58_45_0474,5.889335,-9.533604,-1.295115,0.974022,-0.277893,-1.698381
2025_07_03_18_58_45_0496,4.633701,-9.998409,-0.806381,0.663108,-0.192807,-1.413964
2025_07_03_18_58_45_0518,2.262414,-10.453644,-0.701097,0.420234,-0.091610,-0.933677
2025_07_03_18_58_45_0540,1.582254,-10.578071,-0.796810,0.505453,-0.221568,-0.197734
2025_07_03_18_58_45_0562,2.631507,-10.027123,-1.525424,0.720497,-0.595332,0.637142
