时间戳,加速度计X,加速度计Y,加速度计Z,陀螺仪X,陀螺仪Y,陀螺仪Z
2025_07_02_14_42_51_0905,14.560924,-10.640882,0.937388,-2.096778,-1.049121,3.861070
2025_07_02_14_42_51_0926,14.465211,-10.573285,2.547160,-1.667622,-1.429410,3.948419
2025_07_02_14_42_51_0954,14.714065,-9.931411,2.384448,-1.248054,-1.267494,3.878114
2025_07_02_14_42_51_0983,14.029119,-8.757730,0.765105,-0.989202,-1.074687,3.602219
2025_07_02_14_42_52_0019,15.011373,-6.184848,0.012562,-1.036072,-0.885209,3.581979
2025_07_02_14_42_52_0049,14.690136,-4.953741,0.923031,-1.402512,-0.495333,2.934451
2025_07_02_14_42_52_0072,13.597813,-3.770490,2.283351,-1.200118,-0.403723,2.641645
2025_07_02_14_42_52_0097,14.915660,-2.989234,1.588834,-0.483349,-0.687075,2.395576
2025_07_02_14_42_52_0125,17.028522,-1.144966,2.154139,-0.093607,-0.854317,1.760830
2025_07_02_14_42_52_0149,17.215162,-0.315853,3.903292,0.206788,-0.727554,0.703320
2025_07_02_14_42_52_0170,16.290337,-0.210568,5.053043,0.564574,-0.478290,-0.079493
2025_07_02_14_42_52_0194,16.132410,-1.077967,4.904090,1.121557,0.073368,-0.847260
2025_07_02_14_42_52_0215,15.878173,-1.479961,2.154139,1.514628,0.244870,-1.525680
2025_07_02_14_42_52_0238,15.413965,-2.754737,0.218943,1.698780,0.039280,-2.243514
2025_07_02_14_42_52_0260,15.226727,-4.014558,0.563510,1.777608,-0.059786,-2.804759
2025_07_02_14_42_52_0280,16.022341,-6.041279,-0.083151,1.842587,-0.032090,-3.193569
2025_07_02_14_42_52_0305,17.833109,-9.241679,-0.040080,1.683867,0.076564,-3.649355
2025_07_02_14_42_52_0330,19.045074,-11.919846,0.808176,1.491193,0.234218,-4.149881
2025_07_02_14_42_52_0360,19.984257,-14.382060,1.737189,1.609301,0.539807,-4.797410
2025_07_02_14_42_52_0382,19.797617,-15.354743,1.268196,1.619953,0.893331,-5.181826
2025_07_02_14_42_52_0403,19.433310,-15.187245,0.247657,1.548716,1.112769,-5.479026
2025_07_02_14_42_52_0428,18.992432,-15.129818,0.549153,1.431540,1.079747,-5.845333
2025_07_02_14_42_52_0453,17.291733,-15.340386,0.698106,1.460301,1.137269,-5.935878
2025_07_02_14_42_52_0483,15.849459,-14.971891,0.214158,1.605040,1.021159,-5.613245
2025_07_02_14_42_52_0505,14.872589,-14.411372,-0.011366,1.563629,0.919962,-5.312850
2025_07_02_14_42_52_0526,13.986049,-13.500903,-0.265005,1.468823,0.860309,-5.096607
2025_07_02_14_42_52_0549,11.801401,-12.748361,-0.379861,1.509302,0.713440,-4.924173
2025_07_02_14_42_52_0572,8.169695,-12.623934,-2.176870,1.581605,0.525959,-4.653604
2025_07_02_14_42_52_0596,3.393023,-11.919846,-3.302693,1.468823,-0.078960,-4.098751
2025_07_02_14_42_52_0631,1.850250,-9.471390,-1.194617,1.043795,-0.641270,-2.393712
2025_07_02_14_42_52_0659,3.004787,-7.770691,-0.945763,0.593335,-0.353791,-1.709965
2025_07_02_14_42_52_0684,1.831107,-7.904690,-1.017548,-0.029693,-0.009720,-1.374550
2025_07_02_14_42_52_0705,0.791426,-8.158927,-0.087936,-0.264977,0.094673,-0.952718
2025_07_02_14_42_52_0727,0.139980,-8.504091,0.060419,-0.000932,-0.165244,-0.239145
2025_07_02_14_42_52_0750,1.491327,-8.484351,-0.202792,0.463376,-0.452724,0.528622
2025_07_02_14_42_52_0771,2.348555,-9.409177,-2.258226,0.668966,-0.667901,1.227282
2025_07_02_14_42_52_0794,4.332205,-9.591630,-2.957529,0.287746,-0.743533,1.980268
2025_07_02_14_42_52_0817,5.122435,-10.055838,-3.278765,-0.473762,-0.492138,2.593709
2025_07_02_14_42_52_0840,6.488139,-10.176077,-1.936990,-1.332207,-0.186549,3.468132
2025_07_02_14_42_52_0862,10.009177,-10.219148,-0.945763,-1.736862,0.117042,4.107006
2025_07_02_14_42_52_0882,12.486347,-10.606785,-1.678565,-1.859364,0.296934,4.333900
2025_07_02_14_42_52_0907,14.163117,-11.225329,-2.502294,-2.025541,-0.016112,4.457468
2025_07_02_14_42_52_0939,15.591034,-11.076376,-0.696311,-2.291716,-0.231289,4.406336
2025_07_02_14_42_52_0960,15.355939,-11.105090,0.156730,-2.159627,-0.381353,4.329639
2025_07_02_14_42_52_0985,15.538392,-11.119447,0.649651,-1.736862,-0.712641,4.398880
2025_07_02_14_42_53_0008,16.189838,-11.038091,0.702892,-1.431274,-0.818099,4.430837
2025_07_02_14_42_53_0038,16.750357,-10.611570,-0.159721,-1.385469,-0.791468,4.206073
2025_07_02_14_42_53_0063,16.822142,-11.148161,0.558724,-1.301315,-0.954449,4.194355
2025_07_02_14_42_53_0085,17.847466,-10.477572,0.798605,-0.612243,-1.273885,4.312596
2025_07_02_14_42_53_0108,18.163918,-9.016156,-0.634098,-0.424762,-1.311169,4.136832
2025_07_02_14_42_53_0144,18.609579,-7.195816,0.937388,-0.754984,-1.142862,4.334966
2025_07_02_14_42_53_0173,21.162722,-1.858625,1.924428,-0.308651,-0.815969,3.921788
2025_07_02_14_42_53_0196,19.850258,-0.560519,0.501296,-0.740071,-0.105591,3.114475
2025_07_02_14_42_53_0216,18.777077,-0.368495,0.506082,-1.402512,0.288412,2.699167
2025_07_02_14_42_53_0241,18.092133,-0.224925,2.599802,-1.597317,0.106390,2.080400
2025_07_02_14_42_53_0264,17.258234,0.297308,3.946363,-1.242728,-0.053395,1.642722
2025_07_02_14_42_53_0284,18.494125,1.825724,5.273183,-0.851920,-0.116244,1.126084
2025_07_02_14_42_53_0309,18.336201,1.878366,6.303293,-0.242740,0.308651,0.040878
2025_07_02_14_42_53_0339,16.874783,1.351347,4.597809,0.826621,0.383218,-1.030480
2025_07_02_14_42_53_0364,17.449659,0.220738,2.642873,1.506106,0.413044,-1.757901
2025_07_02_14_42_53_0387,18.580267,-2.376073,0.218943,1.724346,0.241675,-2.487452
2025_07_02_14_42_53_0419,20.449062,-7.641479,1.147957,1.254711,0.099999,-3.467200
2025_07_02_14_42_53_0439,21.081366,-10.558928,2.978466,1.032078,0.485480,-3.969857
2025_07_02_14_42_53_0462,20.673988,-12.854243,3.601198,1.171623,0.981745,-4.343754
2025_07_02_14_42_53_0488,20.755941,-13.721044,2.341377,1.547650,1.227814,-4.675973
2025_07_02_14_42_53_0517,19.711475,-14.559728,1.037887,1.773347,1.261902,-5.191413
2025_07_02_14_42_53_0540,18.872791,-14.799010,0.482154,1.876674,1.242728,-5.446004
2025_07_02_14_42_53_0563,17.152948,-15.273387,0.012562,1.878805,1.138335,-5.568506
2025_07_02_14_42_53_0584,15.557534,-15.373885,-0.001795,1.755238,1.090399,-5.476896
2025_07_02_14_42_53_0610,13.564313,-14.626726,-0.390030,1.948045,0.699592,-5.374633
2025_07_02_14_42_53_0641,10.814362,-14.243277,-1.779064,2.265351,-0.186549,-4.943347
2025_07_02_14_42_53_0665,7.992626,-12.657434,-3.997210,2.198241,-1.291994,-4.423646
2025_07_02_14_42_53_0696,6.311069,-11.038091,-1.798206,1.359104,-1.910762,-3.794227
2025_07_02_14_42_53_0720,5.285745,-10.118649,-0.188435,0.633814,-1.175884,-3.288241
2025_07_02_14_42_53_0742,3.900899,-10.171290,-1.103689,0.114113,-0.445267,-2.712083
2025_07_02_14_42_53_0763,2.569293,-9.854840,-1.841277,-0.285216,-0.222767,-2.141252
2025_07_02_14_42_53_0786,2.271985,-9.351749,-0.308076,-0.481219,-0.207854,-1.537398
2025_07_02_14_42_53_0808,1.534397,-9.078967,-0.116650,-0.455653,-0.000133,-1.008110
2025_07_02_14_42_53_0829,0.638285,-9.212965,-0.495314,-0.387479,0.007323,-0.502257
2025_07_02_14_42_53_0853,0.250050,-9.883554,-0.207577,0.003329,-0.156722,0.363644
2025_07_02_14_42_53_0875,1.768894,-10.171290,-1.204188,0.384549,-0.310116,1.334870
2025_07_02_14_42_53_0896,3.517449,-10.271790,-1.989632,0.173766,-0.118374,2.056965
2025_07_02_14_42_53_0919,5.017151,-10.041480,-2.511866,-0.538742,0.226761,2.702363
2025_07_02_14_42_53_0942,7.302297,-9.845269,-1.750350,-1.139400,0.399196,3.148562
2025_07_02_14_42_53_0964,9.046664,-10.698310,-1.525424,-1.293859,0.378957,3.543631
2025_07_02_14_42_53_0984,10.761720,-11.488540,-1.712065,-1.234206,0.201196,3.928180
2025_07_02_14_42_54_0009,13.190434,-12.149557,-2.009373,-1.227814,0.046737,4.201812
2025_07_02_14_42_54_0031,13.554742,-12.101701,-2.401796,-1.357773,-0.121570,4.284900
2025_07_02_14_42_54_0054,13.597813,-12.288939,-1.922633,-1.581338,-0.248332,4.568252
2025_07_02_14_42_54_0077,14.584852,-11.876775,-1.031905,-1.780537,-0.270702,4.867449
2025_07_02_14_42_54_0111,15.543178,-11.268400,-0.648455,-2.188388,-0.125831,4.867449
2025_07_02_14_42_54_0131,16.448263,-11.924632,-0.849452,-2.238454,-0.217441,4.842949
2025_07_02_14_42_54_0154,17.703897,-12.327224,-0.322433,-2.063889,-0.598661,4.809927
2025_07_02_14_42_54_0177,18.005392,-12.082558,0.415155,-1.998910,-0.769098,4.588491
2025_07_02_14_42_54_0200,17.478373,-11.982059,0.573081,-1.689992,-0.863904,4.551208
2025_07_02_14_42_54_0221,19.476379,-10.889736,-0.447458,-1.001985,-1.250450,4.624709
2025_07_02_14_42_54_0242,20.721844,-9.634701,-1.860420,-0.707048,-1.527411,4.334966
2025_07_02_14_42_54_0264,18.992432,-7.636693,-1.113261,-1.325816,-1.239798,3.857875
2025_07_02_14_42_54_0285,17.794825,-5.878567,0.563510,-1.453644,-0.996925,3.752416
2025_07_02_14_42_54_0308,19.097715,-4.331009,1.109671,-0.833811,-1.217428,3.737503
2025_07_02_14_42_54_0333,21.282961,0.316451,1.430908,-0.812506,-1.164167,3.382914
2025_07_02_14_42_54_0363,24.018555,6.056234,5.541777,-1.419556,-0.113048,1.696916
2025_07_02_14_42_54_0390,18.144773,0.565304,5.105685,-0.942332,0.884809,-0.611976
2025_07_02_14_42_54_0421,12.831511,-2.970091,2.834897,0.137548,0.556851,-0.781215
2025_07_02_14_42_54_0442,14.355142,-1.997409,2.892324,0.671097,0.172435,-0.763239
2025_07_02_14_42_54_0465,16.419548,-0.771087,2.370091,1.064035,0.213979,-1.374550
2025_07_02_14_42_54_0486,17.603397,-2.146362,1.914856,1.086405,0.406653,-2.117816
2025_07_02_14_42_54_0511,18.724436,-6.280561,2.355734,1.143927,0.614373,-2.962413
2025_07_02_14_42_54_0534,19.246670,-9.601201,2.830111,1.548716,0.545133,-3.623790
2025_07_02_14_42_54_0566,19.639091,-12.686148,3.299104,2.283460,0.710244,-4.355472
2025_07_02_14_42_54_0588,19.749760,-14.152349,2.120639,2.530594,0.989202,-4.816584
2025_07_02_14_42_54_0612,18.978075,-15.508482,0.812962,2.548703,1.137269,-5.216979
2025_07_02_14_42_54_0642,17.584255,-16.701303,0.166301,2.266416,1.183074,-5.400199
2025_07_02_14_42_54_0664,16.860426,-15.489339,-0.107079,1.862826,1.140465,-5.370372
2025_07_02_14_42_54_0689,15.993627,-15.862619,-0.087936,1.496519,1.362034,-5.336285
2025_07_02_14_42_54_0714,14.757135,-15.776478,-0.255434,1.605040,1.185205,-5.174369
2025_07_02_14_42_54_0744,12.471990,-15.431314,-0.806381,1.946980,0.583481,-4.960391
2025_07_02_14_42_54_0767,10.076775,-14.650655,-0.849452,2.018350,0.164978,-4.702604
2025_07_02_14_42_54_0790,7.661818,-13.486547,-0.658026,1.961893,-0.099200,-4.218057
2025_07_02_14_42_54_0812,6.104689,-12.322438,-0.964906,1.872413,-0.201462,-3.670660
2025_07_02_14_42_54_0843,4.533203,-11.344971,-1.802992,1.654041,-0.390941,-2.873999
2025_07_02_14_42_54_0870,3.896113,-9.754341,-1.994418,1.284538,-0.612509,-2.177469
2025_07_02_14_42_54_0898,2.952145,-9.074182,-1.199402,0.582682,-0.338877,-1.734466
2025_07_02_14_42_54_0923,0.619143,-9.461819,-1.232902,-0.005193,0.050998,-1.323419
2025_07_02_14_42_54_0945,-0.554537,-9.869197,-0.839881,-0.187348,0.064846,-0.477757
2025_07_02_14_42_54_0968,0.969093,-10.204790,-0.428315,-0.008389,-0.098135,0.657515
2025_07_02_14_42_54_0990,3.354737,-9.452248,-1.079761,0.029960,-0.075765,1.442459
2025_07_02_14_42_55_0020,5.179863,-8.882157,-1.314258,-0.509980,-0.019307,1.869484
2025_07_02_14_42_55_0047,5.788836,-9.509675,-0.284148,-0.993463,0.144739,2.257229
2025_07_02_14_42_55_0078,7.230512,-10.889736,-0.131007,-0.919962,0.107455,2.914211
2025_07_02_14_42_55_0101,9.266804,-11.450254,-0.916451,-0.796528,-0.021438,3.428719
2025_07_02_14_42_55_0126,11.288739,-11.445469,-1.869991,-0.842333,-0.294137,3.722590
2025_07_02_14_42_55_0149,11.508879,-11.196615,-1.831706,-0.934875,-0.581617,3.931376
2025_07_02_14_42_55_0177,12.481561,-11.321042,-0.648455,-1.031811,-0.627422,4.459598
2025_07_02_14_42_55_0201,14.163117,-11.493325,-0.245863,-1.246988,-0.341008,4.790752
2025_07_02_14_42_55_0224,14.863018,-12.274582,0.501296,-1.551512,-0.096004,4.985690
2025_07_02_14_42_55_0247,16.568502,-12.897314,0.817747,-1.594121,0.056324,5.122040
2025_07_02_14_42_55_0269,17.986250,-12.389438,0.002991,-1.208640,-0.135418,5.087953
2025_07_02_14_42_55_0309,18.350557,-13.141382,-0.629312,-1.062703,-0.899057,4.791818
2025_07_02_14_42_55_0332,19.567307,-12.049058,0.918246,-0.915701,-1.059774,4.788622
2025_07_02_14_42_55_0355,19.265812,-10.951949,-0.863809,-0.029693,-1.386800,4.618318
2025_07_02_14_42_55_0379,19.409380,-9.098110,-1.831706,0.104526,-1.462432,4.733230
2025_07_02_14_42_55_0401,20.573488,-5.782256,-1.247259,-0.445001,-0.902252,4.633231
2025_07_02_14_42_55_0424,21.062223,-2.793022,0.209372,-1.024355,-0.234484,4.178377
2025_07_02_14_42_55_0444,22.001406,1.049253,1.867000,-1.187335,0.080825,3.655480
2025_07_02_14_42_55_0467,24.851856,6.578468,5.599205,-1.203314,0.467371,2.744972
2025_07_02_14_42_55_0488,24.842285,4.992624,6.384649,-0.945527,1.322620,0.706516
2025_07_02_14_42_55_0510,17.766109,-0.081356,3.145964,-0.576025,2.037258,-1.059241
2025_07_02_14_42_55_0535,12.601202,-2.769094,0.573081,-0.173500,1.385469,-1.335136
2025_07_02_14_42_55_0558,14.024334,-1.801197,1.756930,0.212115,0.714505,-1.162569
2025_07_02_14_42_55_0585,15.921244,-1.283749,1.569692,0.957644,0.231022,-1.973078
2025_07_02_14_42_55_0613,16.127625,-4.445865,1.617548,1.256842,-0.216375,-2.886781
2025_07_02_14_42_55_0636,17.545971,-7.818548,2.695515,1.400648,-0.356986,-3.335111
2025_07_02_14_42_55_0656,18.872791,-9.768699,3.639483,1.507172,-0.154592,-3.771857
2025_07_02_14_42_55_0683,19.179670,-11.871989,3.035894,1.650845,0.237414,-4.440557
2025_07_02_14_42_55_0711,18.455841,-13.534403,1.924428,1.638062,0.402392,-4.994478
2025_07_02_14_42_55_0741,16.960926,-14.803796,2.044069,1.596518,0.360848,-5.353329
2025_07_02_14_42_55_0766,15.409180,-15.297316,1.895714,1.733933,0.378957,-5.376764
2025_07_02_14_42_55_0788,13.679169,-15.690336,2.024926,1.994915,0.169239,-5.169043
2025_07_02_14_42_55_0814,14.043476,-14.679369,1.229911,2.229133,-0.106656,-4.892216
2025_07_02_14_42_55_0839,12.955938,-14.224134,-0.044865,2.213155,-0.399462,-4.788888
2025_07_02_14_42_55_0869,11.101501,-13.352549,-0.787239,1.587996,-0.500660,-4.477840
2025_07_02_14_42_55_0893,8.916854,-12.274582,-0.701097,0.879882,-0.252593,-4.082772
2025_07_02_14_42_55_0924,6.828517,-11.886347,-0.648455,0.149266,0.112782,-3.460809
2025_07_02_14_42_55_0947,5.803193,-11.129018,-0.452243,-0.273499,0.404522,-2.933652
2025_07_02_14_42_55_0968,4.657629,-10.444073,-0.614955,-0.326760,0.434349,-2.504496
2025_07_02_14_42_55_0989,3.182454,-10.477572,-0.691526,-0.357652,0.359782,-2.161491
2025_07_02_14_42_56_0013,1.237089,-10.329217,0.324227,-0.527024,0.452458,-1.626877
2025_07_02_14_42_56_0037,0.082552,-9.988838,1.071386,-0.431153,0.551524,-0.714239
2025_07_02_14_42_56_0060,1.457229,-10.372288,0.582652,-0.028628,0.502524,0.151663
2025_07_02_14_42_56_0093,2.228914,-10.827522,-3.570690,0.415441,-0.110917,0.801322
2025_07_02_14_42_56_0115,2.271985,-10.655239,-3.570690,-0.204392,-0.559247,1.251782
2025_07_02_14_42_56_0148,4.269992,-10.660025,-0.543171,-1.039268,-0.453789,2.167749
2025_07_02_14_42_56_0168,6.056832,-11.507682,-0.677169,-1.061638,-0.383484,2.698102
2025_07_02_14_42_56_0193,9.027522,-12.647862,-0.993620,-1.032877,-0.466572,3.490369
2025_07_02_14_42_56_0215,12.050255,-13.093526,-1.793421,-0.884809,-0.726489,4.005942
2025_07_02_14_42_56_0248,14.589638,-12.221342,-1.525424,-1.117030,-0.978816,4.209268
2025_07_02_14_42_56_0270,13.396815,-12.025130,-0.001795,-1.517424,-0.765903,4.301944
2025_07_02_14_42_56_0293,12.682558,-12.101701,1.857429,-1.842321,-0.389875,4.743882
2025_07_02_14_42_56_0315,13.880764,-12.183057,2.997609,-1.793320,0.000932,5.112453
2025_07_02_14_42_56_0348,16.673786,-11.646466,1.459622,-1.540860,0.305456,4.980364
2025_07_02_14_42_56_0375,16.889141,-11.742777,-0.217149,-1.557903,-0.101330,4.517121
2025_07_02_14_42_56_0403,17.114664,-12.235699,0.262014,-1.357773,-0.649792,4.511795
2025_07_02_14_42_56_0426,18.068203,-11.254043,0.046062,-1.098921,-0.916100,4.486229
2025_07_02_14_42_56_0449,17.502302,-10.113863,-0.078365,-1.211836,-0.884143,4.418054
2025_07_02_14_42_56_0469,18.240486,-8.412566,0.405583,-0.988137,-0.937405,4.487294
2025_07_02_14_42_56_0492,19.069002,-6.093921,-0.011366,-0.687874,-1.085339,4.225247
2025_07_02_14_42_56_0514,18.987646,-4.398008,0.875175,-0.927419,-0.759511,3.763069
2025_07_02_14_42_56_0534,19.591236,-1.896910,2.091925,-0.927419,-0.455920,3.407414
2025_07_02_14_42_56_0559,20.525633,2.644667,3.452843,-0.618634,-0.493203,2.624601
