时间戳,加速度计X,加速度计Y,加速度计Z,陀螺仪X,陀螺仪Y,陀螺仪Z
2025_07_03_18_59_07_0976,-0.372682,-0.196211,-0.437887,1.945249,-3.868127,0.434748
2025_07_03_18_59_08_0006,1.524826,-1.518246,0.204586,2.505561,-5.255727,1.065233
2025_07_03_18_59_08_0029,3.144169,-2.400001,-0.849452,2.407560,-5.454925,1.418890
2025_07_03_18_59_08_0061,6.713064,-4.067200,-1.127618,0.947392,-5.284488,1.834198
2025_07_03_18_59_08_0091,8.313264,-7.277172,2.854039,-0.123966,-4.520849,2.319811
2025_07_03_18_59_08_0117,8.663215,-9.610772,2.240280,-0.606384,-3.642298,3.291171
2025_07_03_18_59_08_0137,12.979866,-9.826126,0.789033,-1.128215,-3.468665,3.912068
2025_07_03_18_59_08_0159,16.989639,-10.669596,2.537588,-1.251782,-3.625254,3.746957
2025_07_03_18_59_08_0182,17.430517,-12.849458,2.327020,-0.683081,-3.770126,3.987700
2025_07_03_18_59_08_0204,20.635702,-14.889937,1.018744,-0.311448,-3.994757,4.761858
2025_07_03_18_59_08_0226,23.400011,-15.306887,1.296910,-0.263512,-3.988366,5.527627
2025_07_03_18_59_08_0248,26.093132,-11.239686,1.080958,-1.086804,-3.305684,5.398734
2025_07_03_18_59_08_0272,22.331615,-9.763913,3.184249,-1.873745,-2.582658,4.621380
2025_07_03_18_59_08_0295,18.930218,-9.045467,6.025127,-1.637396,-1.654973,4.661859
2025_07_03_18_59_08_0315,19.064217,-8.221141,4.185645,-0.808778,-1.181077,4.795945
2025_07_03_18_59_08_0339,19.648663,-7.157531,1.890928,-0.328491,-0.845529,4.753336
2025_07_03_18_59_08_0360,19.926828,-5.979065,1.057029,-0.497863,-0.547397,4.528705
2025_07_03_18_59_08_0383,19.457237,-4.532006,0.980459,-0.963237,-0.154459,3.882242
2025_07_03_18_59_08_0405,16.381264,-4.110271,1.363909,-1.465894,0.325961,3.220865
2025_07_03_18_59_08_0427,13.588242,-3.678965,1.378266,-1.840723,0.748726,2.969470
2025_07_03_18_59_08_0448,11.772687,-2.596213,1.411765,-1.951507,1.069228,2.847101
2025_07_03_18_59_08_0470,10.852647,-2.006980,1.469193,-1.739526,1.097989,2.762948
2025_07_03_18_59_08_0495,10.723434,-0.909871,0.975673,-1.384936,1.072423,2.532858
