时间戳,加速度计X,加速度计Y,加速度计Z,陀螺仪X,陀螺仪Y,陀螺仪Z
2025_07_12_17_14_49_0763,-1.024128,4.556532,1.962713,-1.021825,0.390674,1.297720
2025_07_12_17_14_49_0794,-0.387039,4.456034,3.131607,-0.993064,-0.239811,1.802507
2025_07_12_17_14_49_0816,1.682752,5.792426,5.196612,-0.873757,-0.523163,1.912226
2025_07_12_17_14_49_0839,2.300699,6.779465,7.860423,-0.988803,-0.317573,1.939922
2025_07_12_17_14_49_0861,2.405983,8.925827,9.230313,-0.914236,-0.217441,1.814225
2025_07_12_17_14_49_0882,3.680759,11.115259,10.816156,-0.521298,-0.649792,1.561765
2025_07_12_17_14_49_0905,5.266603,12.681960,12.110075,0.660977,-1.338865,1.103848
2025_07_12_17_14_49_0940,10.249058,20.864815,14.371293,2.190252,-0.962971,0.771628
2025_07_12_17_14_49_0962,16.041483,25.167110,12.948161,1.548050,1.168161,0.196535
2025_07_12_17_14_49_0987,18.479769,23.519054,12.134004,0.419169,3.127657,-0.842999
2025_07_12_17_14_50_0007,17.885752,19.154545,15.229119,0.575758,3.270399,-1.368026
2025_07_12_17_14_50_0040,9.789038,8.154739,10.155139,4.295818,0.403457,-3.243501
2025_07_12_17_14_50_0065,5.563313,2.525026,5.263612,6.013640,-1.999176,-3.828181
2025_07_12_17_14_50_0095,3.057429,0.230309,-1.889133,5.092347,-2.812881,-4.102878
2025_07_12_17_14_50_0117,-0.084945,-2.850450,-3.187838,3.042305,-2.675466,-3.471328
2025_07_12_17_14_50_0141,-3.251846,-6.180063,-1.328615,1.476679,-1.709566,-2.207163
2025_07_12_17_14_50_0163,-3.687938,-8.714660,-2.713461,0.231688,-0.612509,-0.827020
2025_07_12_17_14_50_0183,-0.425324,-13.409976,-2.900101,-0.341274,-0.614639,-0.222101
2025_07_12_17_14_50_0206,-1.273580,-26.158337,-4.342375,0.541671,-2.437919,1.005846
2025_07_12_17_14_50_0228,1.721038,-32.520851,-6.292525,0.497996,-3.011014,3.971854
2025_07_12_17_14_50_0251,13.228720,-32.377285,-6.896115,-0.597862,-2.568943,7.101909
2025_07_12_17_14_50_0274,28.698917,-27.859634,-10.939387,-2.917540,-1.379344,8.306421
2025_07_12_17_14_50_0301,35.008789,-35.371902,-3.159124,-4.333900,-3.360278,10.073243
2025_07_12_17_14_50_0329,63.438515,-25.219753,2.446661,-1.367892,-5.069577,12.482267
2025_07_12_17_14_50_0351,78.645500,-10.195219,1.354338,-1.267760,-4.228309,11.829412
2025_07_12_17_14_50_0373,76.427353,5.140979,4.046861,-2.785451,-2.438984,10.011459
2025_07_12_17_14_50_0396,66.557556,15.369698,12.062219,-2.217815,-2.580660,8.969928
2025_07_12_17_14_50_0419,55.308300,31.893932,8.535796,-2.829126,-0.560446,6.962363
2025_07_12_17_14_50_0441,31.597820,34.624741,13.542778,-4.267856,0.068974,3.451089
2025_07_12_17_14_50_0462,16.989639,33.077183,17.418552,-1.735398,-1.041798,0.979215
2025_07_12_17_14_50_0484,3.110669,34.284363,18.237495,-0.125032,-1.071624,-0.316907
2025_07_12_17_14_50_0506,11.283954,41.082970,19.847267,0.180557,0.791069,-1.602244
2025_07_12_17_14_50_0530,16.649858,34.116867,12.349358,0.437278,2.327934,-4.968780
2025_07_12_17_14_50_0552,17.038094,21.296122,14.611174,1.859098,1.667622,-6.515098
2025_07_12_17_14_50_0574,30.711281,17.880367,12.253645,2.403299,2.439783,-6.924148
2025_07_12_17_14_50_0597,61.546391,20.002800,12.239287,1.657769,4.456802,-8.209618
2025_07_12_17_14_50_0622,89.468239,14.148162,19.454845,3.296763,3.437640,-11.123429
2025_07_12_17_14_50_0650,91.130653,-4.038486,6.629315,5.080629,3.538837,-13.120342
2025_07_12_17_14_50_0674,60.755562,-14.559728,-2.420938,3.584376,2.370543,-12.660161
2025_07_12_17_14_50_0700,50.560341,-13.284951,-0.274576,2.150839,1.913558,-10.432226
2025_07_12_17_14_50_0730,29.413174,-30.173494,7.352546,1.425548,2.056299,-9.469522
2025_07_12_17_14_50_0753,13.832908,-41.734417,2.805584,3.815398,1.555773,-8.720797
2025_07_12_17_14_50_0777,-6.739983,-52.715080,-12.501302,2.156165,-0.075765,-4.667318
2025_07_12_17_14_50_0806,-3.927818,-54.013783,-5.410770,-1.241130,1.625013,0.749258
2025_07_12_17_14_50_0837,-1.124627,-53.179886,-4.725825,-0.913171,-1.164300,5.291412
2025_07_12_17_14_50_0863,5.477171,-57.448681,-4.821537,-1.015433,-1.787328,9.153148
2025_07_12_17_14_50_0886,30.538998,-60.222561,-3.259623,-2.355230,-1.046059,12.298116
2025_07_12_17_14_50_0911,57.795040,-48.024548,-16.152151,-1.478677,-2.626465,13.352429
2025_07_12_17_14_50_0941,91.408813,-36.775291,-3.297908,0.483083,-4.062133,15.310994
2025_07_12_17_14_50_0964,104.986290,-17.587246,-0.686740,-2.191184,-0.458183,14.295959
2025_07_12_17_14_50_0986,106.322678,2.165504,9.215957,-2.884518,-0.089613,11.821956
2025_07_12_17_14_51_0008,91.542816,19.470997,14.831313,-1.080413,-1.239798,9.017863
2025_07_12_17_14_51_0034,65.608803,37.939999,1.579263,-1.746050,1.031811,5.363848
2025_07_12_17_14_51_0064,29.278578,35.559139,6.610173,-4.540556,1.253247,2.283859
2025_07_12_17_14_51_0088,8.337193,31.419556,9.101101,-2.445642,-1.070559,0.652322
2025_07_12_17_14_51_0109,5.333601,39.659840,15.477973,-1.835397,-0.492271,0.453124
2025_07_12_17_14_51_0132,6.881160,46.420162,11.630913,-2.622471,2.173475,-1.931401
2025_07_12_17_14_51_0154,5.486742,36.134014,19.478773,-1.445654,1.536599,-3.917661
2025_07_12_17_14_51_0175,23.347368,33.225540,23.085953,0.763106,1.711297,-5.505524
2025_07_12_17_14_51_0200,40.624146,18.689739,21.610777,0.689605,4.300212,-8.489641
2025_07_12_17_14_51_0232,72.330841,4.881957,25.725834,3.184914,7.137461,-9.572717
2025_07_12_17_14_51_0255,100.300545,-2.309074,20.987448,6.762232,5.312051,-12.929666
2025_07_12_17_14_51_0278,84.887779,-12.187842,4.976473,6.591928,5.331225,-13.734848
2025_07_12_17_14_51_0309,43.383671,-16.672590,-11.308480,5.573699,-0.125831,-11.485476
2025_07_12_17_14_51_0332,36.110683,-15.561124,-1.922633,1.037936,1.797581,-8.478989
2025_07_12_17_14_51_0355,13.190434,-25.119253,5.910272,-0.243273,3.276790,-7.142387
2025_07_12_17_14_51_0378,15.882958,-29.915070,6.054440,3.749354,0.823026,-6.190335
2025_07_12_17_14_51_0398,-2.327618,-52.389656,-9.487542,4.040163,0.156323,-5.492741
2025_07_12_17_14_51_0421,-2.456831,-51.680183,-6.613163,0.343538,0.023169,0.088947
2025_07_12_17_14_51_0442,2.472982,-46.736015,-3.954139,-1.345522,0.856048,2.929258
2025_07_12_17_14_51_0463,-3.280560,-50.027340,-2.646462,-1.328479,-0.163114,4.644948
2025_07_12_17_14_51_0488,3.795615,-54.410992,-3.206980,-0.775756,-0.991732,8.623860
2025_07_12_17_14_51_0510,20.746370,-56.711094,-4.092923,-1.141131,-1.026885,11.867761
2025_07_12_17_14_51_0533,45.644886,-55.987263,-3.321836,-1.634201,-0.851121,13.453627
2025_07_12_17_14_51_0556,71.535225,-47.258247,-4.174877,-1.584135,-0.526358,14.307677
2025_07_12_17_14_51_0578,76.067833,-44.718864,-12.175878,-3.309413,-1.217428,14.347091
2025_07_12_17_14_51_0601,102.336838,-34.404003,21.869202,-4.262530,-2.870404,15.903131
2025_07_12_17_14_51_0621,112.661270,-6.275775,35.935410,-2.832321,0.590938,13.956284
2025_07_12_17_14_51_0641,111.056282,22.364517,13.547564,-2.400902,3.022332,9.530107
2025_07_12_17_14_51_0666,72.033531,30.236305,4.180860,-4.385032,2.106365,2.785451
2025_07_12_17_14_51_0689,44.767918,31.999218,14.764314,-3.100627,0.735677,1.009042
2025_07_12_17_14_51_0712,15.643676,27.873991,8.411369,-2.672537,0.282020,-0.331820
2025_07_12_17_14_51_0733,7.566105,36.728031,6.964310,-2.194380,-0.189745,-0.998390
2025_07_12_17_14_51_0756,1.313660,40.095932,12.871592,-1.739659,-0.238745,-2.486254
2025_07_12_17_14_51_0782,9.726824,35.884563,30.996027,0.014514,-0.137548,-3.850551
2025_07_12_17_14_51_0809,27.305098,21.507288,35.020756,2.004902,2.733654,-6.007115
2025_07_12_17_14_51_0831,48.078987,12.705888,29.151758,4.071054,3.908340,-7.343717
2025_07_12_17_14_51_0854,69.690956,2.357528,22.683958,6.187140,3.680380,-10.111725
2025_07_12_17_14_51_0879,88.423767,-10.281361,18.841085,6.683538,3.725120,-11.924352
2025_07_12_17_14_51_0902,90.704132,-19.177876,5.962914,7.700570,2.660153,-12.832729
2025_07_12_17_14_51_0933,67.098938,-16.198214,-8.639884,3.542832,-2.390117,-10.263920
2025_07_12_17_14_51_0955,40.073200,-26.292933,4.588237,-1.087869,2.233128,-10.861382
2025_07_12_17_14_51_0978,11.954542,-31.318459,9.982856,1.230744,1.643122,-8.526924
2025_07_12_17_14_52_0000,10.914861,-41.346180,3.994219,3.125261,0.464175,-8.139313
2025_07_12_17_14_52_0023,-13.624732,-52.423157,-1.400399,2.700366,0.812373,-6.159444
2025_07_12_17_14_52_0045,-15.239289,-56.859447,-4.155735,0.832346,0.922092,-0.681083
2025_07_12_17_14_52_0072,-4.061816,-51.105309,-9.300901,-1.040999,1.334204,4.664123
2025_07_12_17_14_52_0100,2.961716,-47.574699,-4.993821,-2.391315,0.217041,7.435327
2025_07_12_17_14_52_0122,8.653643,-46.984867,-2.507080,-1.806635,-0.984275,9.879503
2025_07_12_17_14_52_0143,23.112871,-44.493938,-1.328615,-0.659646,-2.052438,11.532346
2025_07_12_17_14_52_0168,57.296738,-43.482971,3.136392,-0.637276,-1.021559,12.954165
2025_07_12_17_14_52_0191,93.257866,-9.926624,5.833702,-2.766277,3.064809,12.238462
2025_07_12_17_14_52_0221,67.975906,-10.334002,7.999206,-1.468024,-2.453897,8.870861
2025_07_12_17_14_52_0246,79.239517,6.870392,4.861019,-2.138988,-1.295190,8.590838
2025_07_12_17_14_52_0279,62.992851,22.139591,4.080361,-6.421358,2.934983,4.906996
2025_07_12_17_14_52_0299,32.254051,16.141384,3.346961,-6.660902,0.799591,2.669341
2025_07_12_17_14_52_0323,12.644273,16.557734,17.202600,-4.823775,-1.664826,3.423393
2025_07_12_17_14_52_0356,14.814563,35.597424,16.158133,-3.388240,-0.752055,1.972945
2025_07_12_17_14_52_0378,2.636292,39.022751,20.178076,-3.162410,-0.326094,0.307187
2025_07_12_17_14_52_0401,4.792225,41.298923,32.758938,-1.400915,-0.279224,-0.909043
2025_07_12_17_14_52_0424,18.010178,40.196430,31.537403,0.911174,1.468424,-2.755758
2025_07_12_17_14_52_0447,33.164520,31.505697,20.383858,2.528863,3.071200,-6.654644
2025_07_12_17_14_52_0479,46.267620,7.497910,26.717659,4.539624,4.398214,-8.179791
2025_07_12_17_14_52_0500,80.499336,8.159525,22.171297,7.913616,3.128722,-8.775124
2025_07_12_17_14_52_0525,106.375320,-3.564109,18.089142,7.379934,3.142570,-14.739097
2025_07_12_17_14_52_0557,65.053070,-15.450456,-9.391829,6.521623,-0.822360,-10.745272
2025_07_12_17_14_52_0582,41.548374,-19.642681,0.429512,1.027284,1.256442,-10.790011
2025_07_12_17_14_52_0614,17.052450,-30.427134,12.325429,1.531006,0.744198,-8.333052
2025_07_12_17_14_52_0636,8.346764,-44.287560,7.893922,2.502232,-0.037416,-7.628134
2025_07_12_17_14_52_0657,-0.866202,-47.756554,3.160321,1.665226,0.764438,-4.595016
2025_07_12_17_14_52_0682,-8.177471,-52.020561,-7.375278,0.229558,2.163888,-0.417971
2025_07_12_17_14_52_0713,-2.940779,-42.486362,-8.218149,-1.678940,1.090399,4.912322
2025_07_12_17_14_52_0738,0.350549,-37.067814,-11.303694,-1.916354,-0.035286,7.316020
2025_07_12_17_14_52_0758,7.752745,-33.862629,-10.733604,-2.091053,-0.982145,9.562064
2025_07_12_17_14_52_0778,19.538593,-31.725838,-12.285948,-2.803560,-1.463497,10.277768
2025_07_12_17_14_52_0801,37.725243,-36.257843,3.984648,-3.927115,-1.958697,10.402400
2025_07_12_17_14_52_0826,73.025360,-22.436302,20.662024,-0.184685,-0.822360,11.572824
2025_07_12_17_14_52_0856,87.216591,5.672784,10.844871,-4.062399,3.103157,9.472585
2025_07_12_17_14_52_0881,60.314686,14.703896,11.812767,-4.101813,-0.603987,6.469293
2025_07_12_17_14_52_0903,41.610588,13.635500,12.646666,-2.334991,-2.828860,5.932549
2025_07_12_17_14_52_0934,34.088749,19.810778,4.884947,-3.724720,-1.350582,4.853734
2025_07_12_17_14_52_0959,15.528821,17.654844,6.949954,-4.619383,-0.541272,2.971867
2025_07_12_17_14_52_0990,2.918645,29.613573,14.773885,-3.071866,-1.309038,2.133662
2025_07_12_17_14_53_0011,-0.482752,33.072399,15.909280,-2.338187,-0.505054,0.909975
2025_07_12_17_14_53_0037,0.269193,35.108688,16.776678,-1.736463,0.916766,-0.305189
2025_07_12_17_14_53_0061,10.776076,37.724644,22.650459,0.382951,0.511046,-1.904770
2025_07_12_17_14_53_0092,28.292137,33.834511,21.658634,2.255231,2.135126,-5.111521
2025_07_12_17_14_53_0112,34.922649,21.832712,19.018753,2.038989,3.957341,-7.011497
2025_07_12_17_14_53_0134,53.540604,15.283556,27.742985,6.063706,1.619687,-6.468228
2025_07_12_17_14_53_0157,111.171135,25.421349,18.985252,8.937038,0.228759,-9.172322
2025_07_12_17_14_53_0182,95.950394,-15.982261,10.092926,4.040163,4.347083,-13.643238
2025_07_12_17_14_53_0202,76.350182,-14.971891,11.127822,4.843215,1.613295,-10.918905
2025_07_12_17_14_53_0225,52.937012,-25.430321,4.233501,5.169043,-0.195071,-11.140473
2025_07_12_17_14_53_0248,25.335804,-31.610981,5.254040,1.600246,2.716610,-9.506672
2025_07_12_17_14_53_0274,17.425732,-45.073601,12.358929,2.317015,2.200106,-8.048768
2025_07_12_17_14_53_0303,-5.130212,-61.386669,-0.595813,4.295818,0.409848,-5.927223
2025_07_12_17_14_53_0325,-10.744970,-64.237717,-9.343972,0.287080,1.190531,-1.144327
2025_07_12_17_14_53_0347,-9.887741,-56.682381,-1.932204,-2.884518,1.710232,3.078390
2025_07_12_17_14_53_0370,-5.547161,-54.066425,-5.789434,-2.211424,0.066843,6.396857
2025_07_12_17_14_53_0393,10.622936,-52.423157,-5.937789,-2.790777,-0.839404,9.340629
2025_07_12_17_14_53_0414,27.515665,-56.562141,0.865604,-4.404206,-0.842599,12.176679
2025_07_12_17_14_53_0436,69.920670,-46.602016,8.085348,-3.759873,-0.315442,14.687965
2025_07_12_17_14_53_0457,99.706528,-17.937197,8.727820,-4.753603,-1.359104,13.148971
2025_07_12_17_14_53_0480,92.984489,-8.431708,27.872196,-5.589544,-1.241929,11.856044
2025_07_12_17_14_53_0506,93.827957,14.756537,28.615168,-4.997407,0.198932,10.230897
2025_07_12_17_14_53_0536,62.581284,32.075787,12.905090,-3.679981,-0.081091,5.019911
2025_07_12_17_14_53_0559,34.486557,28.961529,7.980063,-5.544804,1.158574,1.723680
2025_07_12_17_14_53_0582,13.042080,21.497717,10.509875,-4.706732,-0.037416,0.588408
2025_07_12_17_14_53_0606,-4.042674,25.991438,12.354143,-2.883453,-1.527411,0.359383
2025_07_12_17_14_53_0639,-5.733801,37.911285,19.421345,-1.758833,-0.212115,-0.180557
