时间戳,加速度计X,加速度计Y,加速度计Z,陀螺仪X,陀螺仪Y,陀螺仪Z
2025_07_06_11_14_42_0421,0.834497,1.164706,9.508479,-0.073767,-0.159652,-0.101064
2025_07_06_11_14_42_0452,1.016950,1.427917,9.628120,-0.138747,-0.127695,0.098001
2025_07_06_11_14_42_0485,1.466800,1.327418,9.589835,-0.020506,-0.050998,0.124632
2025_07_06_11_14_42_0508,1.591825,1.279562,9.766904,-0.043941,-0.011584,0.000000
2025_07_06_11_14_42_0529,1.141376,1.317847,9.791430,-0.035419,0.054460,-0.108521
2025_07_06_11_14_42_0570,0.504287,1.293919,9.906285,0.067909,0.121570,-0.045672
2025_07_06_11_14_42_0596,0.628714,1.236491,9.671191,0.121170,0.182288,0.021305
2025_07_06_11_14_42_0617,0.748355,1.155135,9.546764,0.091344,0.205590,0.022370
2025_07_06_11_14_42_0641,0.748355,1.121037,9.608977,0.038082,0.158853,-0.027563
2025_07_06_11_14_42_0664,0.321835,1.140778,9.551550,-0.025832,0.100265,-0.023302
2025_07_06_11_14_42_0685,0.101695,1.140778,9.699904,-0.037549,0.159918,0.116110
2025_07_06_11_14_42_0709,0.159123,1.001396,9.446265,-0.057789,0.198133,0.295070
2025_07_06_11_14_42_0731,0.858425,0.939183,9.805787,-0.107855,0.160983,0.411180
2025_07_06_11_14_42_0767,1.308874,0.991825,10.269995,0.147801,0.168440,0.189611
2025_07_06_11_14_42_0795,1.088734,1.164706,9.771689,0.155258,-0.026498,0.028761
2025_07_06_11_14_42_0821,0.848854,1.317847,9.264411,0.157388,0.015046,0.050066
2025_07_06_11_14_42_0842,1.026521,1.389632,9.230313,0.094539,0.062982,0.077762
2025_07_06_11_14_42_0873,1.265803,1.461416,9.685548,0.037017,0.104526,-0.002130
2025_07_06_11_14_42_0897,1.031307,1.461416,9.752547,0.009321,-0.001997,-0.109586
2025_07_06_11_14_42_0932,0.418146,1.552344,9.858429,0.030625,-0.038215,-0.161782
2025_07_06_11_14_42_0965,0.293121,1.442274,9.307482,0.007190,0.012916,0.007457
2025_07_06_11_14_42_0995,0.748355,1.269991,9.906285,-0.078028,-0.031824,0.037283
2025_07_06_11_14_43_0022,0.485145,1.140778,10.188639,0.011451,-0.011584,-0.001065
2025_07_06_11_14_43_0055,0.638285,1.241277,9.628120,0.080691,-0.055259,0.010652
2025_07_06_11_14_43_0087,0.757927,1.231705,9.494123,0.040213,0.074699,-0.017976
2025_07_06_11_14_43_0118,0.777069,1.360918,9.968499,0.029560,0.131157,-0.087216
2025_07_06_11_14_43_0142,0.437288,1.399203,9.834501,0.074300,0.086417,-0.163913
2025_07_06_11_14_43_0163,0.264407,1.490130,9.656834,0.061517,0.037416,-0.187348
2025_07_06_11_14_43_0188,0.096909,1.557129,9.451052,0.033821,0.005459,-0.133021
2025_07_06_11_14_43_0218,0.183051,1.624128,9.541979,-0.048202,-0.065911,0.029827
2025_07_06_11_14_43_0243,0.475574,1.494916,9.839287,-0.085485,-0.161782,0.076697
2025_07_06_11_14_43_0274,0.748355,1.403989,9.747761,-0.072702,-0.269371,0.055392
2025_07_06_11_14_43_0296,0.800997,1.423131,9.599406,-0.074833,-0.212913,0.069240
2025_07_06_11_14_43_0319,0.863211,1.432703,9.604192,-0.079094,-0.117042,0.113980
2025_07_06_11_14_43_0342,1.069592,1.485345,9.742975,-0.066311,-0.052063,0.150198
2025_07_06_11_14_43_0364,1.313660,1.456631,9.915857,-0.018375,0.005459,0.102262
2025_07_06_11_14_43_0387,1.337588,1.384846,9.853643,0.032756,0.034221,0.025566
2025_07_06_11_14_43_0409,1.174876,1.389632,9.728619,0.062582,-0.008389,-0.042476
2025_07_06_11_14_43_0432,0.993021,1.360918,9.580264,0.041278,-0.037150,-0.087216
2025_07_06_11_14_43_0456,0.945165,1.303490,9.522836,0.012516,-0.023302,-0.109586
2025_07_06_11_14_43_0487,0.839283,1.183849,9.690333,-0.032223,0.003329,-0.124499
2025_07_06_11_14_43_0509,0.867996,1.140778,9.776475,-0.041810,-0.019041,-0.121303
2025_07_06_11_14_43_0532,0.729213,1.111466,9.853643,-0.034354,-0.093607,-0.120238
2025_07_06_11_14_43_0555,0.724427,1.140778,9.695119,-0.045006,-0.139412,-0.109586
2025_07_06_11_14_43_0577,0.810569,1.212563,9.719048,-0.040745,-0.095738,-0.087216
2025_07_06_11_14_43_0600,0.863211,1.332204,9.675977,-0.011984,-0.014780,-0.036085
2025_07_06_11_14_43_0630,0.993021,1.399203,9.824930,0.014647,0.024634,-0.029693
2025_07_06_11_14_43_0654,0.882353,1.442274,9.791430,0.033821,-0.036085,-0.065911
2025_07_06_11_14_43_0676,0.767498,1.470988,9.685548,0.028495,-0.047802,-0.063781
2025_07_06_11_14_43_0698,0.729213,1.485345,9.604192,0.021038,-0.022237,-0.036085
2025_07_06_11_14_43_0721,0.781855,1.380060,9.575478,0.000799,-0.024367,-0.013848
2025_07_06_11_14_43_0745,0.877568,1.399203,9.628120,-0.022636,-0.055259,-0.010652
2025_07_06_11_14_43_0766,1.021735,1.399203,9.704690,-0.027962,-0.060585,-0.014913
2025_07_06_11_14_43_0788,1.074377,1.375275,9.695119,-0.014114,-0.026498,-0.031824
2025_07_06_11_14_43_0811,1.050449,1.389632,9.675977,-0.007723,0.004394,-0.060585
2025_07_06_11_14_43_0833,1.002593,1.351347,9.656834,-0.023701,0.036351,-0.070172
2025_07_06_11_14_43_0855,1.012164,1.241277,9.805787,-0.013049,0.028894,-0.077629
2025_07_06_11_14_43_0878,0.959522,1.188635,9.747761,0.023169,0.031025,-0.086151
2025_07_06_11_14_43_0911,0.983450,1.236491,9.666406,0.007190,0.059786,-0.104260
2025_07_06_11_14_43_0933,0.820140,1.202992,9.685548,0.000799,0.083221,-0.118108
2025_07_06_11_14_43_0963,0.710070,1.293919,9.733404,-0.004527,0.083221,-0.111716
2025_07_06_11_14_43_0990,0.609572,1.346561,9.786645,0.007190,0.083221,-0.088281
2025_07_06_11_14_44_0021,0.547358,1.408774,9.699904,0.009321,0.074699,-0.055259
2025_07_06_11_14_44_0044,0.537787,1.485345,9.685548,0.003995,0.052330,-0.021172
2025_07_06_11_14_44_0066,0.619143,1.470988,9.704690,-0.017310,0.023568,0.000000
2025_07_06_11_14_44_0101,0.681356,1.384846,9.618548,-0.035419,-0.007323,0.012783
2025_07_06_11_14_44_0134,0.777069,1.265205,9.776475,-0.042876,0.012916,0.006391
2025_07_06_11_14_44_0167,0.686142,1.150349,9.742975,-0.038615,0.004394,-0.025432
2025_07_06_11_14_44_0199,0.671785,1.179063,9.656834,-0.030093,0.013981,-0.035020
2025_07_06_11_14_44_0220,0.700499,1.222134,9.680762,-0.034354,0.034221,-0.029693
2025_07_06_11_14_44_0244,0.676571,1.303490,9.723833,-0.046071,0.026764,-0.032889
2025_07_06_11_14_44_0267,0.690928,1.308276,9.709476,-0.046071,0.008655,-0.041411
2025_07_06_11_14_44_0293,0.700499,1.308276,9.628120,-0.058854,-0.016911,-0.048868
2025_07_06_11_14_44_0320,0.777069,1.250848,9.882358,-0.050332,-0.038215,-0.070172
2025_07_06_11_14_44_0344,0.614357,1.303490,9.834501,-0.043941,-0.077629,-0.065911
2025_07_06_11_14_44_0370,0.561715,1.332204,9.982856,0.015712,-0.056324,0.004261
2025_07_06_11_14_44_0402,0.643071,1.298705,9.551550,0.048734,-0.093607,0.083088
2025_07_06_11_14_44_0423,0.834497,1.322633,9.556335,-0.021571,-0.164978,0.080958
2025_07_06_11_14_44_0456,1.241875,1.231705,9.762118,0.008256,-0.069107,0.015978
2025_07_06_11_14_44_0478,1.141376,1.159921,9.656834,0.016777,-0.035020,-0.036085
2025_07_06_11_14_44_0499,1.141376,1.183849,9.494123,-0.008788,-0.013715,-0.055259
2025_07_06_11_14_44_0523,1.179662,1.150349,9.757333,-0.023701,0.055525,-0.069107
2025_07_06_11_14_44_0556,0.906282,1.188635,9.915857,0.035952,0.126896,-0.096803
2025_07_06_11_14_44_0580,0.719641,1.164706,9.915857,0.079626,0.098135,-0.113847
2025_07_06_11_14_44_0602,0.585643,1.241277,9.580264,0.080691,0.057656,-0.107455
2025_07_06_11_14_44_0631,0.533001,1.322633,9.494123,0.013582,0.056591,-0.095738
2025_07_06_11_14_44_0654,0.628714,1.408774,10.088140,0.050865,0.123700,-0.071237
2025_07_06_11_14_44_0677,-0.051446,1.403989,9.623335,0.067909,0.043808,-0.033954
2025_07_06_11_14_44_0701,0.350549,1.447060,9.680762,-0.025832,-0.141543,0.037283
2025_07_06_11_14_44_0722,0.576072,1.341775,9.460623,-0.003462,-0.065911,0.043675
2025_07_06_11_14_44_0743,0.623928,1.217349,9.340981,-0.060985,0.001198,0.029827
2025_07_06_11_14_44_0771,0.796212,1.159921,9.551550,-0.152595,0.025699,0.008522
2025_07_06_11_14_44_0801,1.165305,1.179063,10.116854,-0.150464,0.077895,-0.021172
2025_07_06_11_14_44_0832,0.571286,1.265205,10.025927,0.066843,0.194006,-0.052063
2025_07_06_11_14_44_0858,0.556929,1.255634,9.805787,0.040213,-0.043541,0.007457
2025_07_06_11_14_44_0888,0.733998,1.250848,9.369696,0.032756,0.023568,0.026631
2025_07_06_11_14_44_0913,0.848854,1.193420,9.484550,-0.050332,0.045938,0.006391
2025_07_06_11_14_44_0935,0.829711,1.174278,9.911072,-0.057789,0.064047,-0.007457
2025_07_06_11_14_44_0960,0.772283,1.121037,9.997213,0.009321,0.027829,-0.021172
2025_07_06_11_14_44_0988,0.757927,1.255634,9.762118,0.076430,0.007590,-0.050998
2025_07_06_11_14_45_0012,0.580858,1.260419,9.455837,0.047669,0.024634,-0.066977
