时间戳,加速度计X,加速度计Y,加速度计Z,陀螺仪X,陀螺仪Y,陀螺仪Z
2025_07_11_17_28_46_0391,11.077573,1.490130,1.517050,0.588142,0.286281,0.223566
2025_07_11_17_28_46_0418,10.483554,0.469591,0.506082,0.892665,-0.053528,0.027563
2025_07_11_17_28_46_0438,10.704292,0.067597,-0.188435,0.829817,-0.036484,0.038215
2025_07_11_17_28_46_0461,10.953146,0.177667,-0.274576,0.544467,-0.011984,0.032889
2025_07_11_17_28_46_0489,9.765109,0.019143,0.510868,0.183353,0.081757,-0.044873
2025_07_11_17_28_46_0517,8.797213,0.168096,1.176671,0.266441,-0.029028,-0.057656
2025_07_11_17_28_46_0541,8.002197,0.306879,1.133600,0.434748,-0.046071,-0.082156
2025_07_11_17_28_46_0562,7.518249,0.555733,0.750748,0.451792,-0.051397,-0.069373
2025_07_11_17_28_46_0584,7.335796,0.714258,0.875175,0.472031,-0.043941,-0.094939
2025_07_11_17_28_46_0607,6.717850,0.503091,0.741177,0.554054,-0.139812,-0.064047
2025_07_11_17_28_46_0628,6.929016,0.598804,0.477368,0.572163,-0.183486,0.048868
2025_07_11_17_28_46_0651,7.287940,0.359522,0.391227,0.488010,-0.161116,0.185217
2025_07_11_17_28_46_0672,8.720642,0.762114,0.352941,0.358051,-0.086550,0.345002
2025_07_11_17_28_46_0695,10.330414,1.384846,0.856032,0.225963,0.010386,0.323698
2025_07_11_17_28_46_0740,10.575080,1.566701,0.966102,0.342073,-0.119572,0.127695
2025_07_11_17_28_46_0764,10.258629,1.135394,0.918246,0.486945,-0.325029,0.009454
2025_07_11_17_28_46_0787,11.015359,1.111466,0.458226,0.408117,-0.364443,0.085085
2025_07_11_17_28_46_0809,12.409777,0.987039,0.376870,0.323964,-0.360182,0.059520
2025_07_11_17_28_46_0832,12.975080,0.460020,0.180658,0.301594,-0.440074,0.030759
2025_07_11_17_28_46_0865,13.056437,-0.062213,-0.288933,0.087615,-0.522097,0.231022
2025_07_11_17_28_46_0887,13.200006,0.177667,-0.370289,-0.195737,-0.411313,0.373764
2025_07_11_17_28_46_0926,12.457633,0.038285,-0.437887,-0.505586,-0.294137,0.460980
2025_07_11_17_28_46_0951,12.361920,0.675972,0.295514,-0.662175,-0.305855,0.389742
2025_07_11_17_28_46_0975,10.459626,-0.172283,1.085743,-0.670697,-0.011984,0.170304
2025_07_11_17_28_46_0998,9.477372,-0.334995,0.467797,-0.389609,-0.021571,0.096803
2025_07_11_17_28_47_0026,9.549755,-0.632303,0.295514,-0.198932,0.007190,-0.143940
2025_07_11_17_28_47_0052,9.535398,-1.614557,0.084347,-0.084952,0.068974,-0.167375
2025_07_11_17_28_47_0073,10.316056,-1.460818,0.247657,0.121703,0.077496,-0.169372
2025_07_11_17_28_47_0098,10.316056,-1.164108,-0.610170,0.329290,0.128627,-0.204525
2025_07_11_17_28_47_0121,9.731609,-0.838086,-1.141975,0.395335,0.104127,-0.245004
2025_07_11_17_28_47_0154,7.762317,-0.430708,-1.472782,0.296268,0.125431,-0.227960
2025_07_11_17_28_47_0177,7.326225,0.187238,-1.266401,0.148334,0.081757,-0.153527
2025_07_11_17_28_47_0199,7.240083,0.728615,-0.806381,0.032223,0.143540,-0.164179
2025_07_11_17_28_47_0221,7.173084,1.298705,-0.768096,-0.025299,0.072170,-0.214112
2025_07_11_17_28_47_0254,7.408179,1.667199,-0.360718,-0.065778,0.081757,-0.333418
2025_07_11_17_28_47_0277,7.494320,1.250848,-0.528814,-0.038082,-0.004527,-0.364310
2025_07_11_17_28_47_0299,8.026125,1.480559,-0.202792,-0.002929,-0.031158,-0.268439
2025_07_11_17_28_47_0330,9.631111,2.055435,-1.621137,0.099333,-0.055658,-0.237547
2025_07_11_17_28_47_0352,11.283954,1.878366,-1.156332,-0.107322,-0.047137,-0.287613
2025_07_11_17_28_47_0374,11.408381,1.006182,0.136989,-0.465107,0.339543,-0.316374
2025_07_11_17_28_47_0397,11.126027,0.450449,-0.183649,-0.374696,0.387479,-0.177894
