时间戳,加速度计X,加速度计Y,加速度计Z,陀螺仪X,陀螺仪Y,陀螺仪Z
2025_07_02_15_46_19_0819,13.228720,2.103291,5.009973,-1.091198,-0.966965,0.162182
2025_07_02_15_46_19_0848,11.293525,-0.742373,3.792624,-0.483083,-0.903051,0.004660
2025_07_02_15_46_19_0875,11.758330,-1.978266,1.953141,0.055792,-0.842333,0.154725
2025_07_02_15_46_19_0903,12.189637,-3.942774,1.138385,0.148467,-0.835942,0.176030
2025_07_02_15_46_19_0924,12.658630,-5.495117,1.200599,0.163380,-0.654852,0.105724
2025_07_02_15_46_19_0946,12.639487,-7.042675,0.098704,0.256055,-0.520633,0.042876
2025_07_02_15_46_19_0971,11.710474,-10.501500,-1.314258,0.438210,-0.733679,0.065246
2025_07_02_15_46_20_0003,10.694721,-12.216556,-1.721636,-0.107056,-0.652722,0.638208
2025_07_02_15_46_20_0026,8.346764,-9.744770,-1.362114,-0.553389,-0.243805,0.824624
2025_07_02_15_46_20_0046,5.314459,-7.746763,-2.181656,-0.787607,-0.040346,0.947125
2025_07_02_15_46_20_0071,3.943970,-7.842476,-2.258226,-0.984675,-0.131956,1.132476
2025_07_02_15_46_20_0103,5.788836,-8.719446,-1.812563,-0.249797,-0.831681,1.823679
2025_07_02_15_46_20_0126,9.013165,-7.861619,-1.568495,-0.168839,-0.963770,2.104767
2025_07_02_15_46_20_0148,9.975677,-7.128817,-1.764707,-0.450061,-0.580286,1.988657
2025_07_02_15_46_20_0172,9.156734,-6.227919,-2.296512,-0.798259,-0.305589,1.884264
2025_07_02_15_46_20_0194,8.701500,-5.011169,-1.984846,-1.167895,-0.195870,1.963091
2025_07_02_15_46_20_0227,8.274979,-3.065804,-1.185045,-1.479875,-0.063781,1.931134
2025_07_02_15_46_20_0259,8.447861,-0.842872,-0.648455,-1.417026,-0.287480,1.760830
2025_07_02_15_46_20_0281,8.672786,-0.023928,0.238086,-1.418091,-0.347133,1.630872
2025_07_02_15_46_20_0304,9.549755,0.369093,0.899103,-1.199852,-0.388677,1.538196
2025_07_02_15_46_20_0324,11.604591,0.762114,0.985245,-0.725823,-0.699592,1.436999
2025_07_02_15_46_20_0349,14.062618,2.184647,1.521835,-0.174166,-1.118095,0.991865
2025_07_02_15_46_20_0384,16.554146,2.668596,3.687340,-0.792933,-0.659113,0.669100
2025_07_02_15_46_20_0415,22.077976,3.535994,8.368299,-0.483083,-0.126630,-0.466173
2025_07_02_15_46_20_0440,18.872791,-0.536590,7.252047,-0.029427,1.122622,-1.816489
2025_07_02_15_46_20_0472,17.780466,-3.578466,4.204788,0.204924,2.136458,-1.902773
2025_07_02_15_46_20_0503,20.334208,-4.565506,2.106282,1.423285,1.797847,-2.270278
2025_07_02_15_46_20_0528,16.587645,-5.025526,0.889532,1.918485,1.492125,-2.944437
2025_07_02_15_46_20_0558,14.838491,-6.434300,-1.132403,2.169880,1.272820,-3.001960
2025_07_02_15_46_20_0585,12.941582,-9.155538,-3.911069,1.863093,1.366561,-2.913545
2025_07_02_15_46_20_0619,12.558131,-8.020144,-1.525424,1.249651,0.968164,-2.494909
2025_07_02_15_46_20_0648,11.029716,-8.383852,-0.279362,1.559634,0.979881,-2.938046
2025_07_02_15_46_20_0671,7.733603,-9.332606,-0.974477,2.040987,0.584813,-2.919937
2025_07_02_15_46_20_0692,6.445068,-8.695518,-0.562313,2.360423,0.146070,-2.485322
2025_07_02_15_46_20_0713,6.866803,-7.737192,-0.887737,2.518078,-0.109586,-2.223408
2025_07_02_15_46_20_0738,7.657032,-7.238887,-1.261616,2.505295,-0.368437,-2.191451
2025_07_02_15_46_20_0761,6.626922,-8.182856,-1.649851,2.398772,-0.500393,-2.415016
2025_07_02_15_46_20_0784,4.106682,-9.869197,-2.440081,2.442446,-0.797593,-2.460821
2025_07_02_15_46_20_0808,2.525624,-10.841880,-3.058027,2.113422,-0.889203,-1.875076
2025_07_02_15_46_20_0843,5.572884,-9.921839,-1.683351,0.455254,-0.313045,-0.810110
2025_07_02_15_46_20_0873,6.727421,-10.410573,1.569692,0.046204,-0.070172,-0.345801
2025_07_02_15_46_20_0909,4.179065,-12.729218,-0.245863,0.869496,-0.356720,0.504122
2025_07_02_15_46_20_0937,7.149156,-11.234900,-0.887737,1.031412,-1.020094,2.019549
2025_07_02_15_46_20_0961,13.281960,-9.323035,-0.078365,0.400927,-0.717701,2.749100
2025_07_02_15_46_20_0985,15.255441,-7.942975,-0.265005,-0.511844,-0.076564,2.817275
2025_07_02_15_46_21_0007,13.066008,-7.224530,-0.241077,-1.730205,0.513442,2.644707
2025_07_02_15_46_21_0027,10.344770,-6.759724,0.688535,-2.340450,0.642336,2.695838
2025_07_02_15_46_21_0049,10.244272,-5.308477,1.258625,-2.099707,0.377092,3.004756
2025_07_02_15_46_21_0070,11.643475,-5.547760,-0.409173,-1.664160,0.214112,3.251757
2025_07_02_15_46_21_0092,14.263616,-5.327620,-1.554138,-1.712096,-0.104260,3.357215
2025_07_02_15_46_21_0115,15.418751,-5.672186,-0.457029,-2.087990,-0.028628,3.172930
2025_07_02_15_46_21_0138,13.933406,-5.854639,-0.087936,-2.401168,0.159918,3.139908
2025_07_02_15_46_21_0162,13.626527,-4.579863,0.530010,-2.471474,0.099200,3.213408
2025_07_02_15_46_21_0183,13.631312,-3.229114,0.865604,-2.436321,0.099200,3.010082
2025_07_02_15_46_21_0206,12.424133,-2.108077,0.774676,-2.194513,-0.070172,2.576532
