时间戳,加速度计X,加速度计Y,加速度计Z,陀螺仪X,陀螺仪Y,陀螺仪Z
2025_07_02_15_49_05_0227,0.005982,3.622135,3.778267,0.286947,-1.343925,0.199465
2025_07_02_15_49_05_0250,-0.497109,2.985046,1.013959,0.625558,-2.332195,0.348597
2025_07_02_15_49_05_0275,0.029910,2.376671,-1.515853,0.888671,-3.644295,0.646730
2025_07_02_15_49_05_0297,2.875575,2.218745,-1.960918,1.172955,-5.256792,0.512643
2025_07_02_15_49_05_0318,3.546163,0.349950,-0.404387,1.404110,-6.357976,0.426360
2025_07_02_15_49_05_0348,3.991826,-3.391826,0.980459,1.094261,-6.307910,1.207042
2025_07_02_15_49_05_0383,9.765109,-4.527220,0.415155,0.449928,-5.859581,2.340184
2025_07_02_15_49_05_0408,13.693525,-5.777470,4.338786,0.035552,-5.307790,2.630859
2025_07_02_15_49_05_0431,14.331213,-6.726224,5.263612,-0.183753,-3.739101,2.926994
2025_07_02_15_49_05_0458,13.707883,-10.942378,1.655833,-0.790802,-2.323673,3.552153
2025_07_02_15_49_05_0486,16.980068,-12.695719,0.180658,-2.390516,-1.576145,4.659729
2025_07_02_15_49_05_0518,20.382063,-15.115460,3.016751,-2.778128,-1.803972,5.013253
2025_07_02_15_49_05_0538,20.477776,-14.531013,3.174677,-2.867607,-1.594254,5.292344
2025_07_02_15_49_05_0560,20.262423,-12.466008,3.265605,-3.130720,-1.248054,5.454259
2025_07_02_15_49_05_0585,19.783260,-9.964910,3.289533,-3.417134,-0.691070,5.149603
2025_07_02_15_49_05_0608,18.106489,-9.045467,3.232105,-3.513005,-0.442871,4.748143
2025_07_02_15_49_05_0631,17.272591,-8.111071,3.246462,-3.307415,-0.404655,4.387029
2025_07_02_15_49_05_0663,16.692928,-7.512267,3.289533,-3.075328,-0.484415,3.743762
2025_07_02_15_49_05_0687,16.118053,-6.831509,3.438486,-2.796237,-0.621830,3.250692
2025_07_02_15_49_05_0708,14.809777,-6.429514,3.538985,-2.387320,-0.854051,2.856689
2025_07_02_15_49_05_0729,14.450854,-6.208776,3.840480,-1.865489,-1.106378,2.738448
2025_07_02_15_49_05_0752,15.174085,-5.533402,3.845266,-1.206243,-1.416360,2.634055
2025_07_02_15_49_05_0775,15.753746,-3.310470,3.797410,-0.394669,-1.654840,2.376402
2025_07_02_15_49_05_0796,15.710675,-2.280360,3.078964,0.314643,-1.862560,2.068549
2025_07_02_15_49_05_0819,15.979270,-1.211965,3.256033,0.736342,-1.921148,1.908764
2025_07_02_15_49_05_0842,17.272591,0.843470,4.305286,0.912106,-1.587863,1.577610
2025_07_02_15_49_05_0864,18.197416,2.937190,5.230112,0.806648,-0.759245,0.778818
2025_07_02_15_49_05_0885,18.024534,2.913262,5.340182,0.617036,0.059786,-0.137016
2025_07_02_15_49_05_0907,17.406588,0.699901,4.636094,0.759777,0.665771,-1.010373
2025_07_02_15_49_05_0932,15.653248,-0.315853,3.174677,1.335935,0.746728,-1.815423
